CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
gt00;gt;REGION;;;
gt12101331;gt00;CITY;Parrachoch Uno;;
gn;;COUNTRY;Guinea;;
gn04;gn;REGION;Conakry;;
gn2422488;gn04;CITY;Camayenne;;
gn2421820;gn04;CITY;Dixinn;;
gn2415668;gn04;CITY;Simbaya;;
gn2415051;gn04;CITY;Tamouta;;
gn2416378;gn04;CITY;Ratoma;;
gn2417659;gn04;CITY;Matam;;
gn2414123;gn04;CITY;Yimbaya;;
gn2414208;gn04;CITY;Yataya;;
gn2414628;gn04;CITY;Tomboléya;;
gn2416065;gn04;CITY;Sangoya;;
gn2418481;gn04;CITY;Kouromandja;;
gn2423330;gn04;CITY;Gbessia;;
gn2423936;gn04;CITY;Ansoumanya;;
gn2419186;gn04;CITY;Koléya;;
gn2419897;gn04;CITY;Kaporo;;
gn2422472;gn04;CITY;Kassa;;
gn2589450;gn04;CITY;Boume;;
gn2414996;gn04;CITY;Taouya;;
gn2419495;gn04;CITY;Kipé;;
gn2420958;gn04;CITY;Fotoba;;
gn2423332;gn04;CITY;Basseniaïa;;
gn2589438;gn04;CITY;Tanene;;
gn2589439;gn04;CITY;Mangue;;
gn2589452;gn04;CITY;Tahire;;
gn2592774;gn04;CITY;Kaki;;
gn2593055;gn04;CITY;Sébaya;;
gn2593056;gn04;CITY;Soro;;
gn2593057;gn04;CITY;Cote;;
gn2593059;gn04;CITY;Tayiré;;
gn2593062;gn04;CITY;Tombolon;;
gn2593063;gn04;CITY;Kirikira;;
gn2593067;gn04;CITY;Kobaya;;
gn2593068;gn04;CITY;Kokoma;;
gn2593069;gn04;CITY;Lansaniya;;
gn2593071;gn04;CITY;Kissamondéya;;
gn2593072;gn04;CITY;Wassawassa;;
gn2593073;gn04;CITY;Lembagui;;
gn2593075;gn04;CITY;Tadi;;
gn2593076;gn04;CITY;Kouré;;
gn2593077;gn04;CITY;Kiroli;;
gn2593082;gn04;CITY;Soniké;;
gn2593083;gn04;CITY;Cité Résid;;
gn2593084;gn04;CITY;Hafiya;;
gn2593085;gn04;CITY;Cité de Francony;;
gn2593086;gn04;CITY;Landréya;;
gn2593087;gn04;CITY;Bonfi;;
gn2593088;gn04;CITY;Donka;;
gn2593089;gn04;CITY;Tonguiwondi;;
gn2593090;gn04;CITY;Madina;;
gn2593097;gn04;CITY;Baga;;
gn2415084;gn04;CITY;Tamatara;;
gn2415270;gn04;CITY;Soumabossia;;
gnB;gn;REGION;Boke;;
gn2414055;gnB;CITY;Youkounkoun;;
gn2416061;gnB;CITY;Sanguéya;;
gn2420139;gnB;CITY;Kamabi;;
gn2420178;gnB;CITY;Kalia;;
gn2420474;gnB;CITY;Guingan;;
gn2420926;gnB;CITY;Foula Mori;;
gn2414562;gnB;CITY;Touba;;
gn2414881;gnB;CITY;Termessé;;
gn2415031;gnB;CITY;Tanéné;;
gn2415948;gnB;CITY;Sarebodio;;
gn2416028;gnB;CITY;Sansalé;;
gn2417893;gnB;CITY;Malenta;;
gn2418623;gnB;CITY;Koumbia;;
gn2416402;gnB;CITY;Port-Kamsar;;
gn2419913;gnB;CITY;Kanufote;;
gn2420022;gnB;CITY;Kanfarandé;;
gn2420088;gnB;CITY;Kambilam;;
gn2421234;gnB;CITY;Farénya;;
gn2421563;gnB;CITY;Doupourou;;
gn2423041;gnB;CITY;Bintimodouya;;
gn2423803;gnB;CITY;Bakiya;;
gn2414341;gnB;CITY;Wendou Borou;;
gn2414482;gnB;CITY;Tounyifili;;
gn2414576;gnB;CITY;Toromélun;;
gn2416085;gnB;CITY;Sangarédi;;
gn2416193;gnB;CITY;Sambailo;;
gn2417648;gnB;CITY;Mayoundé;;
gn2417738;gnB;CITY;Mankouta;;
gn2420274;gnB;CITY;Kabéléya;;
gn2423305;gnB;CITY;Bawiya;;
gn2417959;gnB;CITY;Madina Singuéti;;
gn2419029;gnB;CITY;Kondéyiré;;
gn2419579;gnB;CITY;Khouréralandé;;
gn2419580;gnB;CITY;Khorira;;
gn2419582;gnB;CITY;Khorèra;;
gn2419786;gnB;CITY;Katonguila;;
gn2419787;gnB;CITY;Katongourou;;
gn2419798;gnB;CITY;Katendé;;
gn2419800;gnB;CITY;Katchek;;
gn2419812;gnB;CITY;Kassouli;;
gn2419822;gnB;CITY;Kassani;;
gn2419823;gnB;CITY;Kassambiya;;
gn2419893;gnB;CITY;Karach;;
gn2419896;gnB;CITY;Kapsinn;;
gn2419900;gnB;CITY;Kapken;;
gn2419932;gnB;CITY;Kansita;;
gn2420080;gnB;CITY;Kamélag;;
gn2420225;gnB;CITY;Kakissam;;
gn2420268;gnB;CITY;Kabot;;
gn2420508;gnB;CITY;Guidaly;;
gn2420514;gnB;CITY;Guiapé;;
gn2420530;gnB;CITY;Guèmèyiré;;
gn2420532;gnB;CITY;Guémé-Saint-Jean;;
gn2420870;gnB;CITY;Gadabarou Diamatou;;
gn2421532;gnB;CITY;Duéra;;
gn2421586;gnB;CITY;Doundounfaye;;
gn2421602;gnB;CITY;Doumba Diolo;;
gn2421742;gnB;CITY;Domingya;;
gn2421786;gnB;CITY;Doba;;
gn2421885;gnB;CITY;Dioldé Tengui;;
gn2421924;gnB;CITY;Dikya;;
gn2422607;gnB;CITY;Bouméoul;;
gn2423042;gnB;CITY;Bintia;;
gn2423717;gnB;CITY;Balansira;;
gn2423917;gnB;CITY;Aribouya;;
gn2413992;gnB;CITY;Kaporabina;;
gn2414074;gnB;CITY;Yongoya;;
gn2414157;gnB;CITY;Yenkité;;
gn2414270;gnB;CITY;Yamaya;;
gn2414298;gnB;CITY;Yakhorikhouré;;
gn2414481;gnB;CITY;Tounyifilidi;;
gn2414685;gnB;CITY;Tiyé;;
gn2414850;gnB;CITY;Tiankoubali;;
gn2414981;gnB;CITY;Tassibon;;
gn2415124;gnB;CITY;Taïgbé;;
gn2415128;gnB;CITY;Taïdi;;
gn2415149;gnB;CITY;Taboriya;;
gn2415334;gnB;CITY;Soubané;;
gn2415393;gnB;CITY;Songoya;;
gn2415425;gnB;CITY;Somaya;;
gn2415850;gnB;CITY;Sèkhèbadé;;
gn2415964;gnB;CITY;Saraya;;
gn2416008;gnB;CITY;Santani;;
gn2417064;gnB;CITY;Niofiya;;
gn2417498;gnB;CITY;Monchon;;
gn2417583;gnB;CITY;Méyenkhouré;;
gn2417690;gnB;CITY;Marou;;
gn2418340;gnB;CITY;Lakhata;;
gn2418423;gnB;CITY;Koutan;;
gn2418639;gnB;CITY;Koumbadanta;;
gn2418705;gnB;CITY;Koukouba;;
gn2418780;gnB;CITY;Kouaniyaya;;
gn2419538;gnB;CITY;Kimbo;;
gn2420834;gnB;CITY;Ganganta;;
gn2421392;gnB;CITY;Fandiékhouré;;
gn2423687;gnB;CITY;Baleya;;
gn2414679;gnB;CITY;Tofiya;;
gn2416803;gnB;CITY;Guéniani;;
gn2417324;gnB;CITY;Nandounba;;
gn2419156;gnB;CITY;Koliya;;
gn2419459;gnB;CITY;Kitifini;;
gn2419477;gnB;CITY;Kissasi;;
gn2419481;gnB;CITY;Kisoumaya;;
gn2419627;gnB;CITY;Kérinkong;;
gn2419696;gnB;CITY;Kénéba;;
gn2419777;gnB;CITY;Kawas;;
