CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
es;;COUNTRY;Spain;;
es53;es;REGION;Canary Islands;;
es2511401;es53;CITY;San Cristóbal de La Laguna;;
es2515692;es53;CITY;La Orotava;;
es2515698;es53;CITY;La Oliva;;
es2511180;es53;CITY;Santa Cruz de La Palma;;
es2511440;es53;CITY;San Bartolomé de Tirajana;;
es2514042;es53;CITY;Maspalomas;;
es2511230;es53;CITY;San Sebastián de La Gomera;;
es2514452;es53;CITY;Los Silos;;
es2514651;es53;CITY;Los Llanos de Aridane;;
es2515118;es53;CITY;La Victoria de Acentejo;;
es2518277;es53;CITY;El Paso;;
es2519217;es53;CITY;Corralejo;;
es2509887;es53;CITY;Vallehermoso;;
es2511150;es53;CITY;Santa Lucía;;
es6355013;es53;CITY;Puerto del Carmen;;
es6692471;es53;CITY;Los Realejos;;
es2514457;es53;CITY;Los Sauces;;
es2514353;es53;CITY;Mácher;;
es2514741;es53;CITY;Los Cristianos;;
es2514912;es53;CITY;Lomo de Arico;;
es2516852;es53;CITY;Güimar;;
es2517056;es53;CITY;Gran Tarajal;;
es2517598;es53;CITY;Fuencaliente de la Palma;;
es2518093;es53;CITY;El Tablero;;
es2510558;es53;CITY;Tejeda;;
es2511012;es53;CITY;El Sauzal;;
es2511287;es53;CITY;San Miguel De Abona;;
es2511327;es53;CITY;San Juan de la Rambla;;
es2511371;es53;CITY;San Isidro;;
es2511994;es53;CITY;Realejo Alto;;
es2512145;es53;CITY;Punta Mujeres;;
es2512465;es53;CITY;Playa Blanca;;
es2513061;es53;CITY;Órzola;;
es2521605;es53;CITY;Arico;;
es2522293;es53;CITY;Alajeró;;
es6354969;es53;CITY;Playa del Ingles;;
es6354970;es53;CITY;Puerto Rico;;
es6355127;es53;CITY;Costa Teguise;;
es6355183;es53;CITY;Playa de las Américas;;
es6692439;es53;CITY;El Cotillo;;
es6544327;es53;CITY;Costa Calma;;
es6544416;es53;CITY;Vecindario;;
es2513497;es53;CITY;Morro del Jable;;
es2513978;es53;CITY;Mazo;;
es2514062;es53;CITY;Masca;;
es2514266;es53;CITY;Mala;;
es2515133;es53;CITY;La Vegueta;;
es2515381;es53;CITY;Las Galletas;;
es2515413;es53;CITY;Las Cuevas de Aguaite;;
es2515517;es53;CITY;La Santa;;
es2515636;es53;CITY;Puerto de Mogán;;
es2515770;es53;CITY;La Matilla;;
es2515817;es53;CITY;La Laja;;
es2515961;es53;CITY;La Florida;;
es2516331;es53;CITY;Jerduñe;;
es2516460;es53;CITY;Igueste;;
es2516847;es53;CITY;Guinate;;
es2516861;es53;CITY;Guia;;
es2516883;es53;CITY;Guatiza;;
es2517365;es53;CITY;Gando;;
es2517762;es53;CITY;Fátaga;;
es2518256;es53;CITY;El Pilar;;
es2518766;es53;CITY;El Abrigo;;
es2519501;es53;CITY;Chilegua;;
es2520069;es53;CITY;Carrizal;;
es2520696;es53;CITY;Buzanada;;
es2520971;es53;CITY;Betancuría;;
es2521110;es53;CITY;Benchijigua;;
es2521405;es53;CITY;Bajamar;;
es2509405;es53;CITY;Ye;;
es2510105;es53;CITY;Uga;;
es2510450;es53;CITY;Tinguatón;;
es2510747;es53;CITY;Tabayesco;;
es2510796;es53;CITY;Soo;;
es2512146;es53;CITY;Punta del Hidalgo;;
es2512183;es53;CITY;Puerto de Santiago;;
es2512406;es53;CITY;Poris de Abona;;
es2513285;es53;CITY;Nazaret;;
es2521563;es53;CITY;Arrieta;;
es6354968;es53;CITY;San Agustin;;
es7117233;es53;CITY;Ajuy;;
es6698165;es53;CITY;La Restinga;;
es6695750;es53;CITY;El Pinar;;
es6692470;es53;CITY;Los Gigantes;;
es6544334;es53;CITY;Caleta de Fuste;;
es6544342;es53;CITY;Los Cancajos;;
es6544376;es53;CITY;Jandía;;
es6615357;es53;CITY;Golf del Sur;;
es2514781;es53;CITY;Los Carrizales;;
es2514905;es53;CITY;Lomo de Mena;;
es2515011;es53;CITY;Llanos de la Concepción;;
es2515211;es53;CITY;Las Valeras;;
es2515236;es53;CITY;Las Rosas;;
es2515455;es53;CITY;Las Casas de Afur;;
es2515469;es53;CITY;Las Canteras;;
es2515989;es53;CITY;La Esperanza;;
es2516586;es53;CITY;Hoya de Pineda;;
es2516843;es53;CITY;Guinea;;
es2517213;es53;CITY;Giniginámar;;
es2517349;es53;CITY;Garachiko;;
es2517747;es53;CITY;Femés;;
es2518288;es53;CITY;El Palmital;;
es2518338;es53;CITY;El Mojón;;
es2518367;es53;CITY;El Majuelo;;
es2518511;es53;CITY;El Cuchillo;;
es2519010;es53;CITY;Cueva Bermeja;;
es2519375;es53;CITY;Cofete;;
es2519569;es53;CITY;Chamorga;;
es2519791;es53;CITY;Casillas de Morales;;
es2520519;es53;CITY;Caleta de Sebo;;
es2520535;es53;CITY;La Calera;;
es2510198;es53;CITY;Trasmontaña;;
es2510524;es53;CITY;Tenteniguada;;
es2510550;es53;CITY;Tejina;;
es2510722;es53;CITY;Taganana;;
es2511037;es53;CITY;Saint Vincent;;
es2511463;es53;CITY;San Andrés;;
es2511634;es53;CITY;Sabinosa;;
es2512191;es53;CITY;Puerto de las Lajas;;
es2512461;es53;CITY;Playa de Santiago;;
es2512808;es53;CITY;Pedro Barba;;
es2521518;es53;CITY;Arure;;
es2522393;es53;CITY;Agua de Bueyes;;
es6355198;es53;CITY;Sonnenland;;
es6696897;es53;CITY;Playa Honda;;
es6692862;es53;CITY;Las Caletillas;;
es2516311;es53;CITY;Jinámar;;
es2518346;es53;CITY;El Medano;;
es2510715;es53;CITY;Tahiche;;
es2512190;es53;CITY;Puerto de las Nieves;;
es2512195;es53;CITY;Puerto de la Estaca;;
es56;es;REGION;Catalonia;;
es3108286;es56;CITY;Terrassa;;
es3109981;es56;CITY;Santa Coloma de Gramenet;;
es3117533;es56;CITY;Manresa;;
es3121145;es56;CITY;Granollers;;
es3123329;es56;CITY;el Prat de Llobregat;;
es3124569;es56;CITY;Cornellà de Llobregat;;
es3120619;es56;CITY;L'Hospitalet de Llobregat;;
es3109143;es56;CITY;La Seu d'Urgell;;
es3109402;es56;CITY;Cerdanyola del Vallès;;
es3110519;es56;CITY;Sant Joan Despí;;
es3105184;es56;CITY;Vilanova i la Geltrú;;
es3105935;es56;CITY;Viladecans;;
es3106180;es56;CITY;El Vendrell;;
es3110834;es56;CITY;Sant Boi de Llobregat;;
es3110921;es56;CITY;Sant Adrià de Besòs;;
es3110986;es56;CITY;Salou;;
es3126888;es56;CITY;Cambrils;;
es3122826;es56;CITY;Esplugues de Llobregat;;
es3116553;es56;CITY;Mollet del Vallès;;
es3120431;es56;CITY;Igualada;;
es3107941;es56;CITY;Torelló;;
es3109804;es56;CITY;Barbera Del Valles;;
es3110143;es56;CITY;Sant Pere de Ribes;;
es3105885;es56;CITY;Vilanova del Camí;;
es3105994;es56;CITY;Vielha e Mijaran;;
es3110885;es56;CITY;Sant Andreu de la Barca;;
es3111607;es56;CITY;Ripoll;;
es3114267;es56;CITY;Parets del Vallès;;
es3128201;es56;CITY;Berga;;
es3115171;es56;CITY;Olesa de Montserrat;;
es3116527;es56;CITY;Montcada i Reixac;;
es3116562;es56;CITY;Molins de Rei;;
es3129661;es56;CITY;Arenys de Mar;;
es3119231;es56;CITY;La Pineda;;
es3107768;es56;CITY;Torrelles de Llobregat;;
es3107797;es56;CITY;Torrefarrera;;
es3107983;es56;CITY;Torà de Riubregós;;
es3108116;es56;CITY;Teià;;
es3108487;es56;CITY;Súria;;
es3108663;es56;CITY;Sort;;
es3108747;es56;CITY;Solsona;;
es3109023;es56;CITY;Seva;;
es3109165;es56;CITY;Sentmenat;;
es3109167;es56;CITY;Sentfores;;
es3109440;es56;CITY;Sant Vicenç de Montalt;;
es3109451;es56;CITY;Sant Vicenç de Castellet;;
es3109550;es56;CITY;Sant Joan les Fonts;;
es3109551;es56;CITY;Sant Joan de Vilatorrada;;
es3109693;es56;CITY;Santa Oliva;;
es3109799;es56;CITY;Santa Maria de Corcó;;
es3109894;es56;CITY;Santa Eugènia de Berga;;
es3110064;es56;CITY;Sant Sadurní d'Anoia;;
es3110144;es56;CITY;Premià de Dalt;;
es3110516;es56;CITY;Vilassar de Mar;;
es3104564;es56;CITY;Vinyols i els Arcs;;
es3105803;es56;CITY;Vila-seca;;
es3105881;es56;CITY;Vilanova de Segriá;;
es3106380;es56;CITY;Beret;;
es3106528;es56;CITY;Vallfogona de Balaguer;;
es3110583;es56;CITY;Sant Hipòlit de Voltregà;;
es3110771;es56;CITY;Amer;;
es3110840;es56;CITY;Sant Bartomeu del Grau;;
es3110881;es56;CITY;Sant Andreu de Llavaneres;;
es3112615;es56;CITY;Quart d’Onyar;;
es3113144;es56;CITY;Portbou;;
es3113225;es56;CITY;el Pont de Suert;;
es3113231;es56;CITY;Ponts;;
es3113576;es56;CITY;Piera;;
es3125442;es56;CITY;Centelles;;
es3125884;es56;CITY;Castelló d'Empúries;;
es3125893;es56;CITY;Castellfollit de la Roca;;
es3125915;es56;CITY;Castellar del Vallès;;
es3126017;es56;CITY;Casserres;;
es3126293;es56;CITY;Cardona;;
es3126317;es56;CITY;Cardedeu;;
es3126533;es56;CITY;Cànoves i Samalús;;
es3126534;es56;CITY;Canovelles;;
es3126835;es56;CITY;Campdevànol;;
es3127147;es56;CITY;Cabrils;;
es3127161;es56;CITY;Cabrera de Mar;;
es3127797;es56;CITY;les Borges del Camp;;
es3128030;es56;CITY;Bigues i Riells;;
es3128348;es56;CITY;Bellcaire d'Urgell;;
es3128535;es56;CITY;Bas;;
es3122315;es56;CITY;Fonollosa;;
es3122380;es56;CITY;Folgueroles;;
es3122656;es56;CITY;Falset;;
es3122784;es56;CITY;l'Estany;;
es3122827;es56;CITY;L' Espluga de Francolí;;
es3123462;es56;CITY;Gurb;;
es3123801;es56;CITY;Dosrius;;
es3124248;es56;CITY;Cruïlles;;
es3124624;es56;CITY;Corbins;;
es3124786;es56;CITY;Collbató;;
es3124938;es56;CITY;Clariana de Cardener;;
es3115094;es56;CITY;Olost;;
es3115170;es56;CITY;Oliana;;
es3115172;es56;CITY;Olesa de Bonesvalls;;
es3115593;es56;CITY;Navàs;;
es3116205;es56;CITY;Móra la Nova;;
es3116216;es56;CITY;Móra d'Ebre;;
es3116237;es56;CITY;Montseny;;
es3116246;es56;CITY;Mont-roig del Camp;;
es3116276;es56;CITY;Montmeló;;
es3116291;es56;CITY;Mongrony;;
es3116407;es56;CITY;Montclar d'Urgell;;
es3116466;es56;CITY;Monistrol de Montserrat;;
es3116473;es56;CITY;Montgai;;
es3117232;es56;CITY;el Masnou;;
es3117630;es56;CITY;Malla;;
es3118214;es56;CITY;Llorenç del Penedès;;
es3118287;es56;CITY;Llançà;;
es3118862;es56;CITY;les Preses;;
es3118866;es56;CITY;les Planes d'Hostoles;;
es3119099;es56;CITY;La Roca del Vallès;;
es3119214;es56;CITY;la Pobla de Mafumet;;
es3119216;es56;CITY;La Pobla de Claramunt;;
es3119531;es56;CITY;La Llagosta;;
es3119694;es56;CITY;la Garriga;;
es3119704;es56;CITY;La Fuliola;;
es3119731;es56;CITY;La Figuera;;
es3119779;es56;CITY;l'Escala;;
es3119889;es56;CITY;La Canonja;;
es3121397;es56;CITY;Gironella;;
es3129017;es56;CITY;Bagà;;
es3129108;es56;CITY;Aiguafreda;;
es3129326;es56;CITY;Artés;;
es3129660;es56;CITY;Arenys de Munt;;
es3130032;es56;CITY;Anglès;;
es3130249;es56;CITY;Alpicat;;
es3130331;es56;CITY;Almacelles;;
es3130379;es56;CITY;Alguaire;;
es3130398;es56;CITY;Alfarràs;;
es3130608;es56;CITY;Alcanar;;
es3131024;es56;CITY;Abrera;;
es6544363;es56;CITY;S'Agaró;;
es3110854;es56;CITY;Sant Antoni de Calonge;;
es3123351;es56;CITY;Santa Maria de Besora;;
es3123473;es56;CITY;Empuriabrava;;
es3123491;es56;CITY;Figaró;;
es3107114;es56;CITY;Vacarisses;;
es3107306;es56;CITY;Ullastrell;;
es3107687;es56;CITY;Tortellà;;
es3107699;es56;CITY;Torroja del Priorat;;
es3107715;es56;CITY;Torre-serona;;
es3107717;es56;CITY;Torres de Segre;;
es3107769;es56;CITY;Torrelles de Foix;;
es3107778;es56;CITY;Torrelameu;;
es3107816;es56;CITY;la Torre de Fontaubella;;
es3107985;es56;CITY;Tor;;
es3108110;es56;CITY;Tiana;;
es3108271;es56;CITY;Tartareu;;
es3108277;es56;CITY;El Tarròs;;
es3108383;es56;CITY;Talarn;;
es3108447;es56;CITY;Tavèrnoles;;
es3108515;es56;CITY;Sudanell;;
es3108773;es56;CITY;Ventolà;;
es3109313;es56;CITY;Savallà del Comtat;;
es3109315;es56;CITY;Saus;;
es3109358;es56;CITY;Sarroca de Lleida;;
es3109371;es56;CITY;Sarral;;
es3109438;es56;CITY;San Vicenç de Torelló;;
es3109452;es56;CITY;Sant Vicenç de Calders;;
es3109767;es56;CITY;Santa Maria d'Oló;;
es3109773;es56;CITY;Santa Maria de Martorelles;;
es3109821;es56;CITY;Santa Margarida de Montbui;;
es3109866;es56;CITY;Santa Fe del Penedès;;
es3109872;es56;CITY;Santa Eulàlia de Riuprimer;;
es3110016;es56;CITY;Santa Bárbara;;
es3110102;es56;CITY;Sant Quirze de Besora;;
es3110106;es56;CITY;Sant Quintí de Mediona;;
es3110108;es56;CITY;Sant Privat d'en Bas;;
es3110139;es56;CITY;Sant Pere de Torelló;;
es3110222;es56;CITY;Sant Pau de Segúries;;
es3110272;es56;CITY;Sant Miquel de Cruïlles;;
es3110306;es56;CITY;Sant Mateu de Bages;;
es3110337;es56;CITY;Calldetenes;;
es3110355;es56;CITY;Sant Martí de Llémana;;
es3110450;es56;CITY;Sant Llorenç Savall;;
es3110470;es56;CITY;Sant Llorenç;;
es3104616;es56;CITY;el Vilosell;;
es3105503;es56;CITY;Vilalba Sasserra;;
es3105774;es56;CITY;la Vilella Baixa;;
es3105775;es56;CITY;la Vilella Alta;;
es3105805;es56;CITY;Vilaseca;;
es3105835;es56;CITY;Vilardida;;
es3105886;es56;CITY;Vilanova de la Roca;;
es3105888;es56;CITY;Vilanova de l'Aguda;;
es3105912;es56;CITY;Vilallonga del Camp;;
es3105924;es56;CITY;Viladordis;;
es3105925;es56;CITY;Viladonja;;
es3105940;es56;CITY;Vilacolum;;
es3106080;es56;CITY;Vespella de Gaià;;
es3106385;es56;CITY;Vandellós;;
es3106504;es56;CITY;Vallmoll;;
es3106510;es56;CITY;Vall-Llobrega;;
es3106530;es56;CITY;Vallfogona;;
es3106664;es56;CITY;Vallbona d'Anoia;;
es3110601;es56;CITY;Vilassar de Dalt;;
es3110657;es56;CITY;Sant Fost de Campsentelles;;
es3110661;es56;CITY;Sant Esteve Sesrovires;;
es3110664;es56;CITY;Sant Esteve Vallespirans;;
es3110717;es56;CITY;Sant Cugat Sesgarrigues;;
es3110770;es56;CITY;Sant Climent de Llobregat;;
es3110778;es56;CITY;Sant Cebrià de Vallalta;;
es3110852;es56;CITY;Sant Antoni de Vilamajor;;
es3111090;es56;CITY;Sant Pere Sallavinera;;
es3111218;es56;CITY;Rupit;;
es3111325;es56;CITY;El Rourell;;
es3111343;es56;CITY;Rosselló;;
es3111358;es56;CITY;Roquetes;;
es3111433;es56;CITY;Rodonyà;;
es3111486;es56;CITY;Rocafort de Queralt;;
es3111837;es56;CITY;Riba-roja d'Ebre;;
es3111884;es56;CITY;Rialp;;
es3112256;es56;CITY;Raimat;;
es3112668;es56;CITY;Puigverd de Lleida;;
es3112672;es56;CITY;Puigmoltó;;
es3112678;es56;CITY;Puigdàlber;;
es3112801;es56;CITY;Púbol;;
es3112870;es56;CITY;Preixens;;
es3112871;es56;CITY;Preixana;;
es3112879;es56;CITY;Pratdip;;
es3112960;es56;CITY;Pradell;;
es3113129;es56;CITY;la Portella;;
es3113298;es56;CITY;la Pobla de Segur;;
es3113299;es56;CITY;la Pobla de Montornès;;
es3113326;es56;CITY;Platja d'Aro;;
es3113784;es56;CITY;Peratallada;;
es3113792;es56;CITY;Peramola;;
es3114403;es56;CITY;El Papiol;;
es3125293;es56;CITY;Cervià de les Garrigues;;
es3125877;es56;CITY;Castellvell del Camp;;
es3125899;es56;CITY;Castelldans;;
es3125900;es56;CITY;Castellciutat;;
es3126266;es56;CITY;Carme;;
es3126458;es56;CITY;Capçanes;;
es3126484;es56;CITY;Canyelles;;
es3126485;es56;CITY;Canyamars;;
es3126585;es56;CITY;Canet d'Adri;;
es3126593;es56;CITY;Caneján;;
es3126831;es56;CITY;Campelles;;
es3126973;es56;CITY;Ca’l Rubió;;
es3127006;es56;CITY;Calella de Palafrugell;;
es3127310;es56;CITY;Cabanabona;;
es3127721;es56;CITY;Bràfim;;
es3127769;es56;CITY;Bossòst;;
es3127837;es56;CITY;Bonmatí;;
es3127898;es56;CITY;Boí;;
es3128006;es56;CITY;la Bisbal de Falset;;
es3128060;es56;CITY;Betren;;
es3128065;es56;CITY;Betlán;;
es3128270;es56;CITY;Benissanet;;
es3128292;es56;CITY;Benavent de Segrià;;
es3128332;es56;CITY;Bellvei;;
es3128333;es56;CITY;Bellver de Cerdanya;;
es3128352;es56;CITY;Belianes;;
es3128665;es56;CITY;la Baronia de Rialb;;
es3128787;es56;CITY;Barbens;;
es3128896;es56;CITY;Banyeres del Penedès;;
es3121572;es56;CITY;els Garidells;;
es3122750;es56;CITY;Esterri d'Àneu;;
es3122776;es56;CITY;l'Estartit;;
es3122828;es56;CITY;L' Espluga Calba;;
es3122855;es56;CITY;Espinelves;;
es3123362;es56;CITY;El Perelló;;
es3123630;es56;CITY;el Brull;;
es3123631;es56;CITY;el Bruc;;
es3124552;es56;CITY;Cornudella de Montsant;;
es3124643;es56;CITY;Copóns;;
es3124819;es56;CITY;Coll;;
es3124956;es56;CITY;Civís;;
es3125162;es56;CITY;Xerta;;
es3114481;es56;CITY;Palou;;
es3114553;es56;CITY;el Palau d'Anglesola;;
es3114828;es56;CITY;Osor;;
es3114848;es56;CITY;Os de Civís;;
es3114958;es56;CITY;Organyà;;
es3115073;es56;CITY;els Omells de na Gaia;;
es3115074;es56;CITY;els Omellons;;
es3115092;es56;CITY;Olp;;
es3115163;es56;CITY;Oliola;;
es3115616;es56;CITY;Navarcles;;
es3116122;es56;CITY;el Morell;;
es3116248;es56;CITY;Mont-ras;;
es3116408;es56;CITY;Montbrió del Camp;;
es3116492;es56;CITY;Monells;;
es3116551;es56;CITY;Molló;;
es3116613;es56;CITY;el Molar;;
es3116928;es56;CITY;Menàrguens;;
es3117012;es56;CITY;Medinyà;;
es3117200;es56;CITY;Matadepera;;
es3117235;es56;CITY;Masllorenç;;
es3117281;es56;CITY;Masdenverge;;
es3117330;es56;CITY;Martorelles;;
es3117639;es56;CITY;Maldà;;
es3118227;es56;CITY;Llofriu;;
es3118238;es56;CITY;Lliçà d'Amunt;;
es3118278;es56;CITY;Llardecáns;;
es3118315;es56;CITY;Llanars;;
es3118342;es56;CITY;Llafranc;;
es3118430;es56;CITY;Lilla;;
es3118873;es56;CITY;Les Piles;;
es3118952;es56;CITY;La Selva del Camp;;
es3118958;es56;CITY;La Secuita;;
es3119120;es56;CITY;la Riera de Gaià;;
es3119158;es56;CITY;La Ràpita;;
es3119458;es56;CITY;la Masó;;
es3119655;es56;CITY;La Granada;;
es3119959;es56;CITY;La Beguda Alta;;
es3120479;es56;CITY;Ivars de Noguera;;
es3120929;es56;CITY;Guissona;;
es3120979;es56;CITY;els Guiamets;;
es3121041;es56;CITY;Gualter;;
es3121047;es56;CITY;Gualba de Dalt;;
es3121144;es56;CITY;Granollers de Rocacorba;;
es3121160;es56;CITY;Granyena de Segarra;;
es3121331;es56;CITY;Gombrèn;;
es3121454;es56;CITY;Gerb;;
es3121506;es56;CITY;Gaià;;
es3121520;es56;CITY;Gausac;;
es3121557;es56;CITY;Garraf;;
es3129099;es56;CITY;Aitona;;
es3129190;es56;CITY;Aubert;;
es3129323;es56;CITY;Artesa de Lleida;;
es3129376;es56;CITY;Arrós;;
es3129395;es56;CITY;Arró;;
es3129469;es56;CITY;Arnes;;
es3129793;es56;CITY;L'Arboç;;
es3130264;es56;CITY;Alòs de Balaguer;;
es3130282;es56;CITY;Almoster;;
es3130573;es56;CITY;Alcoletge;;
es3130649;es56;CITY;l' Albi;;
es3130675;es56;CITY;Albatàrrec;;
es3130704;es56;CITY;l' Albagés;;
es6355026;es56;CITY;Tamariu;;
es6254870;es56;CITY;Su;;
es6269406;es56;CITY;Gàrzola;;
es6269407;es56;CITY;Lluçars;;
es6461752;es56;CITY;Sant Marti d'Empuries;;
es6424319;es56;CITY;Pi;;
es6424321;es56;CITY;Masella;;
es6424322;es56;CITY;La Molina;;
es6424323;es56;CITY;Coma-ruga;;
es6951088;es56;CITY;Bellaterra;;
es3107810;es56;CITY;la Torre de l'Espanyol;;
es3107909;es56;CITY;els Torms;;
es3108062;es56;CITY;Tírvia;;
es3108278;es56;CITY;Tarroja de Segarra;;
es3108284;es56;CITY;Tarrés;;
es3108330;es56;CITY;Tapis;;
es3108406;es56;CITY;Taüll;;
es3108485;es56;CITY;Surp;;
es3108655;es56;CITY;Soses;;
es3108761;es56;CITY;Solíus;;
es3108766;es56;CITY;el Soleràs;;
es3108822;es56;CITY;Sobrestany;;
es3109029;es56;CITY;Setcases;;
es3109104;es56;CITY;Serinyà;;
es3109193;es56;CITY;la Selva de Mar;;
es3109243;es56;CITY;Segura;;
es3109651;es56;CITY;Sant Guim de la Plana;;
es3109652;es56;CITY;Sant Genís;;
es3109690;es56;CITY;Santa Perpètua de Gaià;;
es3109798;es56;CITY;Santa Maria de Finestres;;
es3109801;es56;CITY;Santa María de Camós;;
es3109820;es56;CITY;Santa Margarida de Bianya;;
es3109826;es56;CITY;Santa Magdalena;;
es3109849;es56;CITY;Santa Llogaia d'Àlguema;;
es3110039;es56;CITY;Sant Sebastià de Montmajor;;
es3110140;es56;CITY;Sant Pere Despuig;;
es3110142;es56;CITY;Sant Pere de Riudebitlles;;
es3110267;es56;CITY;Sant Miquel de Pineda;;
es3110313;es56;CITY;Sant Martí Sesgueioles;;
es3110358;es56;CITY;Sant Martí d'Albars;;
es3110452;es56;CITY;Sant Llorenç de Morunys;;
es3110533;es56;CITY;Sant Joan de les Abadesses;;
es3104511;es56;CITY;Vistabella;;
es3105771;es56;CITY;Vilers;;
es3105793;es56;CITY;Vilaverd;;
es3105798;es56;CITY;Vilatenim;;
es3105809;es56;CITY;Vilarrodona;;
es3105813;es56;CITY;Vilarig;;
es3105887;es56;CITY;Vilanova de la Muga;;
es3105898;es56;CITY;Vilanna;;
es3105918;es56;CITY;Vilajoan;;
es3105920;es56;CITY;Vilaür;;
es3105921;es56;CITY;Vilagrassa;;
es3106240;es56;CITY;Veïnat de Sant Llorenç;;
es3106244;es56;CITY;Veïnat de les Ferreries;;
es3106483;es56;CITY;Vallverd de Queralt;;
es3106639;es56;CITY;Valldoreix;;
es3110574;es56;CITY;Sant Jaume de Llierca;;
es3110604;es56;CITY;Sant Genís de Palafolls;;
es3110640;es56;CITY;Sant Feliu del Racó;;
es3110645;es56;CITY;Sant Feliu de Buixalleu;;
es3110668;es56;CITY;Sant Esteve de Palautordera;;
es3110910;es56;CITY;Sant Agustí de Lluçanès;;
es3111004;es56;CITY;Salitkha;;
es3111154;es56;CITY;Saderra;;
es3111414;es56;CITY;Rojals;;
es3111483;es56;CITY;Rocallaura;;
es3112057;es56;CITY;Rellinars;;
es3112272;es56;CITY;Raset;;
es3112669;es56;CITY;Puigverd d'Agramunt;;
es3112674;es56;CITY;Puiggròs;;
es3112700;es56;CITY;el Port de la Selva;;
es3112808;es56;CITY;Pruit;;
es3112877;es56;CITY;Els Prats de Rei;;
es3112881;es56;CITY;Prat de Comte;;
es3113161;es56;CITY;Porrera;;
es3113281;es56;CITY;Poboleda;;
es3113638;es56;CITY;Picamoíxons;;
es3113793;es56;CITY;Peramera;;
es3113820;es56;CITY;Perafort;;
es3113822;es56;CITY;Perafita;;
es3114187;es56;CITY;Paüls;;
es3114226;es56;CITY;Passanant;;
es3125589;es56;CITY;Cavestany;;
es3125896;es56;CITY;Castell de l'Areny;;
es3125903;es56;CITY;Castellbó;;
es3125911;es56;CITY;Castellar de la Muntanya;;
es3126437;es56;CITY;Queralbs;;
es3126929;es56;CITY;Camallera;;
es3127338;es56;CITY;Cabacés;;
es3127582;es56;CITY;Boadella d'Empordà;;
es3127798;es56;CITY;Les Borges Blanques;;
es3128349;es56;CITY;Bellcaire d’Empordà;;
es3128545;es56;CITY;Barruera;;
es3122392;es56;CITY;Fogars de Tordera;;
es3122400;es56;CITY;la Floresta;;
es3122588;es56;CITY;la Febró;;
es3122598;es56;CITY;Fatgés;;
es3122623;es56;CITY;La Farga de Moles;;
es3122625;es56;CITY;Farena;;
es3122862;es56;CITY;Espinavell;;
es3122882;es56;CITY;Espiells;;
es3123025;es56;CITY;Escaló;;
es3123266;es56;CITY;els Hostalets de Balenyà;;
es3123313;es56;CITY;El Puig;;
es3123445;es56;CITY;Éller;;
es3123972;es56;CITY;Darmós;;
es3124714;es56;CITY;Concabella;;
es3114996;es56;CITY;Ordal;;
es3115221;es56;CITY;Oix;;
es3115308;es56;CITY;Nulles;;
es3115337;es56;CITY;Novés de Segre;;
es3115558;es56;CITY;Navès;;
es3115985;es56;CITY;Moià;;
es3116263;es56;CITY;Montornès de Segarra;;
es3116278;es56;CITY;Montmaneu;;
es3116294;es56;CITY;Montferrer;;
es3116410;es56;CITY;Montblanquet;;
es3116443;es56;CITY;Montagut;;
es3116446;es56;CITY;Mont;;
es3116620;es56;CITY;Moja;;
es3116771;es56;CITY;el Milà;;
es3117229;es56;CITY;Massoteres;;
es3117306;es56;CITY;Masarbonés;;
es3117981;es56;CITY;Los Molinos;;
es3118251;es56;CITY;Llerona;;
es3118498;es56;CITY;Les Fonts;;
es3118686;es56;CITY;Lavern;;
es3118750;es56;CITY;La Valenciana;;
es3118865;es56;CITY;Las Poblas;;
es3118991;es56;CITY;Les Cases d'Alcanar;;
es3119014;es56;CITY;es Bòrdes;;
es3119215;es56;CITY;La Pobla de Lillet;;
es3119532;es56;CITY;La Llacuna;;
es3119701;es56;CITY;La Galera;;
es3119867;es56;CITY;la Sènia;;
es3119963;es56;CITY;La Batlloria;;
es3120006;es56;CITY;L'Ametlla del Vallès;;
es3120618;es56;CITY;Hostafrancs;;
es3120620;es56;CITY;l'Hospitalet de l'Infant;;
es3121034;es56;CITY;Guàrdia de Tremp;;
es3121136;es56;CITY;Graugés;;
es3121138;es56;CITY;Gratallops;;
es3121159;es56;CITY;Granyena de les Garrigues;;
es3121410;es56;CITY;Ginestar;;
es3121453;es56;CITY;Gerri;;
es3129014;es56;CITY;Beget;;
es3129442;es56;CITY;Arrabal de la Leche;;
es3129443;es56;CITY;Jesús;;
es3129609;es56;CITY;l' Argentera;;
es3129642;es56;CITY;Arfa;;
es3129712;es56;CITY;Ardenya;;
es3130084;es56;CITY;Andamí;;
es3130233;es56;CITY;Altet;;
es3130314;es56;CITY;Almatret;;
es3130401;es56;CITY;Alfara de Carles;;
es3130402;es56;CITY;el Far d'Empordà;;
es3130416;es56;CITY;Alentorn;;
es3130426;es56;CITY;l' Aleixar;;
es3130644;es56;CITY;l' Albiol;;
es3130783;es56;CITY;Aiguamúrcia;;
es3130801;es56;CITY;Aguiró;;
es3130811;es56;CITY;Aguiló;;
es3131078;es56;CITY;Abella;;
es9072850;es56;CITY;Mas Pinell;;
es6355027;es56;CITY;Miami Platja;;
es7281594;es56;CITY;Baix Llobregat;;
es6943537;es56;CITY;Llefià;;
es6459157;es56;CITY;Palau;;
es10859332;es56;CITY;Vall de Núria;;
