CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
al;;COUNTRY;Albania;;
al44;al;REGION;Fier;;
al3185607;al44;CITY;Gërmenj i Madh;;
al3185334;al44;CITY;Jazxhias;;
al3185904;al44;CITY;Çermë Shkumbin;;
al3186039;al44;CITY;Bishtqethëm;;
al3184603;al44;CITY;Ngurrëza e Vogël;;
al3185472;al44;CITY;Grecalli;;
al3185564;al44;CITY;Gjokalli;;
al3185713;al44;CITY;Dushku i Madh;;
al3185864;al44;CITY;Çorrush;;
al3185931;al44;CITY;Buzmadh;;
al3186217;al44;CITY;Vjosë;;
al3183627;al44;CITY;Zharnec;;
al3184114;al44;CITY;Sheq-Marinas;;
al3184778;al44;CITY;Matkizë;;
al3185092;al44;CITY;Kreshpan;;
al3185095;al44;CITY;Kremenar;;
al3185146;al44;CITY;Kolkondas;;
al3185173;al44;CITY;Klos;;
al3185206;al44;CITY;Kavaklli;;
al3185263;al44;CITY;Kapaj;;
al3185287;al44;CITY;Kallmi i Madh;;
al3185318;al44;CITY;Kafarraj;;
al3185407;al44;CITY;Hambar;;
al3185579;al44;CITY;Gjerbës;;
al3185838;al44;CITY;Damës;;
al3185888;al44;CITY;Cfir;;
al3186190;al44;CITY;Ardenicë;;
al3186229;al44;CITY;Adë;;
al3183685;al44;CITY;Xeng;;
al3183755;al44;CITY;Vërri;;
al3183790;al44;CITY;Varibop;;
al3183975;al44;CITY;Spolatë;;
al3184258;al44;CITY;Rreth-Libofshë;;
al3184307;al44;CITY;Rriban;;
al3184341;al44;CITY;Ramaj;;
al3184378;al44;CITY;Qarr;;
al3184517;al44;CITY;Patos Fshat;;
al3184665;al44;CITY;Mujalli;;
al3184699;al44;CITY;Mizë;;
al3185000;al44;CITY;Lalar;;
al3185391;al44;CITY;Hasturkas;;
al3185558;al44;CITY;Gjonçë;;
al3185573;al44;CITY;Gjinoqarë;;
al3185606;al44;CITY;Gërmenji i Vogël;;
al3185679;al44;CITY;Ferras;;
al3185714;al44;CITY;Dushk Peqin;;
al3185756;al44;CITY;Drizë;;
al3185770;al44;CITY;Drenie;;
al3185831;al44;CITY;Agim;;
al3185901;al44;CITY;Çermë-Proshkë;;
al3186206;al44;CITY;Allprendaj;;
al3184116;al44;CITY;Sheqishtë;;
al3184146;al44;CITY;Shëneprëmte;;
al3184202;al44;CITY;Sejmenas;;
al3184311;al44;CITY;Rrërës;;
al3184344;al44;CITY;Radostinë;;
al3184366;al44;CITY;Qerreti i Vjetër;;
al3184479;al44;CITY;Peshtani i Madh;;
al3184602;al44;CITY;Ngurrëza e Madhe;;
al3184617;al44;CITY;Ndërnënas;;
al3184643;al44;CITY;Murriz-Kozarë;;
al3184645;al44;CITY;Murriz;;
al3184901;al44;CITY;Lofkënd;;
al3185040;al44;CITY;Kupas;;
al3185076;al44;CITY;Krutja e Sipërme;;
al3185116;al44;CITY;Kosova e Vogël;;
al3185135;al44;CITY;Konjat;;
al3185196;al44;CITY;Këmishtaj;;
al3185224;al44;CITY;Kasnicë;;
al3185233;al44;CITY;Kasharaj;;
al3185236;al44;CITY;Kash;;
al3185258;al44;CITY;Karavasta;;
al3185285;al44;CITY;Kallm Maliqaj;;
al3185319;al44;CITY;Kadiaj;;
al3185353;al44;CITY;Imsht;;
al3185415;al44;CITY;Hajdaraj;;
al3185476;al44;CITY;Ngrançije;;
al3185480;al44;CITY;Gramsh;;
al3185501;al44;CITY;Gorre;;
al3185536;al44;CITY;Gobolesh;;
al3185642;al44;CITY;Fushë;;
al3185669;al44;CITY;Fieri i Ri;;
al3185740;al44;CITY;Dukas;;
al3185879;al44;CITY;Çinar;;
al3185903;al44;CITY;Çerma e Sipërme;;
al3185909;al44;CITY;Selimaj;;
al3186033;al44;CITY;Bitaj;;
al3186044;al44;CITY;Bishçukas;;
al3186060;al44;CITY;Biçakaj;;
al3186095;al44;CITY;Belishovë;;
al3186122;al44;CITY;Cërrilë;;
al3186179;al44;CITY;Arrëz;;
al3186205;al44;CITY;Allprendaj-Peqin;;
al3183672;al44;CITY;Xibrakë;;
al3183697;al44;CITY;Vreshtas;;
al3183716;al44;CITY;Vlosh;;
al3183763;al44;CITY;Velmisht;;
al3183811;al44;CITY;Usojë;;
al3183860;al44;CITY;Toshkëz;;
al3183898;al44;CITY;Thanasaj;;
al3183970;al44;CITY;Stan-Karbunarë;;
al3184011;al44;CITY;Siqecë;;
al3184117;al44;CITY;Sheqi i Madh;;
al3184128;al44;CITY;Shënkollas;;
al3184147;al44;CITY;Shëneprëmte;;
al3184244;al44;CITY;Rrupaj;;
al3184282;al44;CITY;Rrapëz-Fshat;;
al3184293;al44;CITY;Romës;;
al3184431;al44;CITY;Plyk;;
al3184439;al44;CITY;Plemerë;;
al3184587;al44;CITY;Fshati i Ri;;
al3184607;al44;CITY;Ngjeqar;;
al3184668;al44;CITY;Muçias;;
al3184729;al44;CITY;Mërtish;;
al3184779;al44;CITY;Malkë;;
al3184791;al44;CITY;Marinëz;;
al3184795;al44;CITY;Margëlliç;;
al3184873;al44;CITY;Lumth;;
al3184979;al44;CITY;Lavdan;;
al3185073;al44;CITY;Kryekuq;;
al3185098;al44;CITY;Krapës;;
al3185230;al44;CITY;Kashisht;;
al3185366;al44;CITY;Hoxhara;;
al3185405;al44;CITY;Hamil;;
al3185446;al44;CITY;Grykë;;
al3185633;al44;CITY;Gadurovë;;
al3185681;al44;CITY;Ferras;;
al3185757;al44;CITY;Drizar;;
al3185984;al44;CITY;Peshtan-Bregas;;
al3186142;al44;CITY;Baltëz;;
al3186227;al44;CITY;Adriatik;;
al3183620;al44;CITY;Zhelizhan;;
al3183805;al44;CITY;Vajkan;;
al3183862;al44;CITY;Tatoshaj;;
al3183943;al44;CITY;Sulaj;;
al3184452;al44;CITY;Pishë;;
al3184477;al44;CITY;Petovë;;
al3184593;al44;CITY;Ninësh;;
al3184670;al44;CITY;Muçaj;;
al3184716;al44;CITY;Metoh;;
al3184719;al44;CITY;Metaj;;
al3343901;al44;CITY;Lagjja e Re;;
al3343935;al44;CITY;Meç;;
al3185037;al44;CITY;Kuqar;;
al3185053;al44;CITY;Kular;;
al3185075;al44;CITY;Kryegjatë;;
al3185126;al44;CITY;Kori;;
al3185172;al44;CITY;Koçaj;;
al3185252;al44;CITY;Karbunara e Madhe;;
al3185274;al44;CITY;Kamenicë;;
al3185276;al44;CITY;Kamçisht;;
al3185333;al44;CITY;Jeta e Re;;
al3185339;al44;CITY;Jagodinë;;
al3185354;al44;CITY;Imshtë;;
al3185390;al44;CITY;Havaleas;;
al3185411;al44;CITY;Halilaj;;
al3185413;al44;CITY;Hajdaraj-Peqin;;
al3185438;al44;CITY;Gungas;;
al3185503;al44;CITY;Gorishovë;;
al3185510;al44;CITY;Goriçaj;;
al3185543;al44;CITY;Gjuzaj;;
al3185544;al44;CITY;Gjyshaj;;
al3185559;al44;CITY;Gjonas;;
al3185650;al44;CITY;Frashër;;
al3185666;al44;CITY;Fier-Seman;;
al3185696;al44;CITY;Eskaj;;
al3185739;al44;CITY;Dukas;;
al3185755;al44;CITY;Drizë;;
al3185821;al44;CITY;Delisufaj;;
al3185858;al44;CITY;Çukasi i Vjetër;;
al3185924;al44;CITY;Çanakaj;;
al3185983;al44;CITY;Bregas;;
al3186020;al44;CITY;Boçovë;;
al3186045;al44;CITY;Bishanakë;;
al3186058;al44;CITY;Biçakaj i Vjetër;;
al3186096;al44;CITY;Belinë;;
al3186112;al44;CITY;Bashkim;;
al3186132;al44;CITY;Barbullinjë;;
al3186157;al44;CITY;Balaj;;
al3186194;al44;CITY;Arapaj;;
al3186225;al44;CITY;Afrimi i Ri;;
al3183606;al44;CITY;Zhym;;
al3183612;al44;CITY;Zhupan;;
al3183633;al44;CITY;Zhamë;;
al3183635;al44;CITY;Zgjanë;;
al3183734;al44;CITY;Visokë;;
al3183748;al44;CITY;Vidhishtë;;
al3183793;al44;CITY;Vanaj;;
al3183807;al44;CITY;Vadhizë;;
al3183895;al44;CITY;Thanë;;
al3183988;al44;CITY;Sopëz;;
al3183989;al44;CITY;Sop;;
al3184006;al44;CITY;Skilaj;;
al3184032;al44;CITY;Shtyllas;;
al3184158;al44;CITY;Shegas;;
al3184174;al44;CITY;Shakuj;;
al3184367;al44;CITY;Qerreti i Ri;;
al3184425;al44;CITY;Pojan;;
al3184432;al44;CITY;Plug;;
al3184453;al44;CITY;Pirrë;;
al3184478;al44;CITY;Peshtani i Vogël;;
al3184682;al44;CITY;Mollaj;;
al3184717;al44;CITY;Metalli;;
al3184753;al44;CITY;Mbyet;;
al3184754;al44;CITY;Mbrostar-Ferko;;
al3184763;al44;CITY;Mbërs;;
al3184805;al44;CITY;Manasufaj;;
al3184893;al44;CITY;Luar;;
al3184922;al44;CITY;Hoxhë;;
al3184926;al44;CITY;Lifaj i Vjetër;;
al3184927;al44;CITY;Lifaj i Ri;;
al3184974;al44;CITY;Lekaj;;
al3184982;al44;CITY;Lapulec;;
al3185025;al44;CITY;Kurtinë;;
al3343903;al44;CITY;Grizë;;
al3343950;al44;CITY;Darëzeza e Re;;
al3343951;al44;CITY;Remas;;
al3185982;al44;CITY;Bregas;;
al3186046;al44;CITY;Bishan;;
al3186099;al44;CITY;Bejar;;
al3184184;al44;CITY;Seman i Ri;;
al3184186;al44;CITY;Seman;;
al3343977;al44;CITY;Frakulla e Vogël;;
al3344024;al44;CITY;Ramaj;;
al12034703;al44;CITY;Shahaj;;
al3185226;al44;CITY;Kashtëbardhe;;
al3185286;al44;CITY;Kallmi i Vogël;;
al3185435;al44;CITY;Gur;;
al3185588;al44;CITY;Gjazë;;
al3185619;al44;CITY;Garunjas;;
al3185715;al44;CITY;Dushku i Madh;;
al3185779;al44;CITY;Dotaj;;
al3185857;al44;CITY;Çukasi i Ri;;
al3185872;al44;CITY;Çlirim;;
al3185894;al44;CITY;Çerven;;
al3185917;al44;CITY;Çeligrad;;
al3186059;al44;CITY;Biçakaj i Ri;;
al3186167;al44;CITY;Babunjë;;
al3186226;al44;CITY;Afrim;;
al3183760;al44;CITY;Verbas;;
al3183949;al44;CITY;Suku i Sipërm;;
al3183950;al44;CITY;Suku i Poshtëm;;
al3184207;al44;CITY;Savër;;
al3184232;al44;CITY;Rusinjë;;
al3184681;al44;CITY;Mollas;;
al3184773;al44;CITY;Mazhaj;;
al3184991;al44;CITY;Lamaj;;
al3343759;al44;CITY;Krasniq;;
al3343834;al44;CITY;Pocestë;;
al3343838;al44;CITY;Kurtan;;
al3343890;al44;CITY;Kraksniq;;
al3343892;al44;CITY;Stojk;;
al3343894;al44;CITY;Radostimë;;
al3343895;al44;CITY;Llapaticë;;
al3343897;al44;CITY;Shtanas;;
al3343899;al44;CITY;Majalli;;
al3343902;al44;CITY;Griq;;
al3343904;al44;CITY;Ullishte;;
al3343905;al44;CITY;Breg;;
al3343908;al44;CITY;Kanajak;;
al3343914;al44;CITY;Ecër;;
al3343916;al44;CITY;Shkëmber;;
al3343918;al44;CITY;Xhepë;;
al3343920;al44;CITY;Gerger;;
al3343922;al44;CITY;Thanë;;
al3343932;al44;CITY;Kasme;;
al3343936;al44;CITY;Mëhallëzë;;
al3343937;al44;CITY;Kamenicë;;
al3343939;al44;CITY;Havaleas;;
al3343942;al44;CITY;Runga;;
al3343944;al44;CITY;Senesë;;
al3343949;al44;CITY;Povelçe;;
al3343953;al44;CITY;Hadaj;;
al3343962;al44;CITY;Poçem;;
al3343963;al44;CITY;Ballan;;
al3343966;al44;CITY;Stan;;
al3185130;al44;CITY;Korçeraj;;
al3185147;al44;CITY;Kolea;;
al3185902;al44;CITY;Çermë e Vogël;;
al3183851;al44;CITY;Trocaj;;
al3183942;al44;CITY;Sulzotaj;;
al3184017;al44;CITY;Sinanbejlli;;
al3184115;al44;CITY;Sheqi i Vogël;;
al3184159;al44;CITY;Sheaj;;
al3184642;al44;CITY;Murtajas;;
al3184948;al44;CITY;Levan;;
al3343754;al44;CITY;Piranjak;;
al3343755;al44;CITY;Buzaj;;
al3343756;al44;CITY;Ramaj;;
al3343758;al44;CITY;Ballajt;;
al3343760;al44;CITY;Saliasi;;
al3343761;al44;CITY;Koçaj;;
al3343762;al44;CITY;Ballaj;;
al3343763;al44;CITY;Tafani;;
al3343833;al44;CITY;Rustemaj;;
al3343835;al44;CITY;Lazaj;;
al3343836;al44;CITY;Nuraj;;
al3343837;al44;CITY;Gogaj;;
al3343839;al44;CITY;Shabanaj;;
al3343891;al44;CITY;Muçaj;;
al3343893;al44;CITY;Toskallar;;
al3343896;al44;CITY;Çervenakët;;
al3343898;al44;CITY;Beharaj;;
al3343900;al44;CITY;Stanë;;
al3343906;al44;CITY;Shpataj;;
al3343907;al44;CITY;Lagjja e Re;;
al3343912;al44;CITY;Manaj;;
al3343913;al44;CITY;Mertikaj;;
al3343915;al44;CITY;Shushejt;;
al3343917;al44;CITY;Ymeraj;;
al3343919;al44;CITY;Benkollarët;;
al3343921;al44;CITY;Merikaj;;
al3343923;al44;CITY;Gegollarët;;
al3343924;al44;CITY;Begaj;;
al3343925;al44;CITY;Toskaj;;
al3343926;al44;CITY;Kapaj;;
al3343927;al44;CITY;Agaçaj;;
al3343928;al44;CITY;Sakaj;;
al3343929;al44;CITY;Alillarët;;
al3343931;al44;CITY;Çalamanaj;;
al3343933;al44;CITY;Bufaj;;
al3343934;al44;CITY;Bashaj;;
al3343938;al44;CITY;Rusea;;
al3343940;al44;CITY;Shulenj;;
al3343941;al44;CITY;Semer;;
al3343943;al44;CITY;Drengoj;;
al3343945;al44;CITY;Likaj;;
al3343946;al44;CITY;Sinanaj;;
al3343947;al44;CITY;Virovë;;
al3343948;al44;CITY;Çepkë;;
al3343952;al44;CITY;Sheq;;
al3343961;al44;CITY;Drenovë-Fushë;;
al3343964;al44;CITY;Sinanaj;;
al3343965;al44;CITY;Fejzoltaraj;;
al3343967;al44;CITY;Diellas;;
al3343995;al44;CITY;Cërrila e Re;;
al3343999;al44;CITY;Xhaferrapaj;;
al3344026;al44;CITY;Manaj;;
al12020602;al44;CITY;Danaj;;
al12020618;al44;CITY;Arannasi;;
al12038165;al44;CITY;Rrapi i Gresallisë;;
al12040928;al44;CITY;Dajlani;;
al3185284;al44;CITY;Kallm Resulaj;;
al3186111;al44;CITY;Bashkim;;
al3183986;al44;CITY;Soravë;;
al3184257;al44;CITY;Rreth-Numanbej;;
al3184597;al44;CITY;Nikas;;
al3184733;al44;CITY;Mermuçaj;;
al48;al;REGION;Lezhë;;
al3184136;al48;CITY;Shëngjin;;
al3185822;al48;CITY;Delbnisht;;
al782632;al48;CITY;Kurbnesh;;
al3183597;al48;CITY;Zojz, Dajc;;
al3185598;al48;CITY;Gjadër, Dajc;;
al3184063;al48;CITY;Shëllinzë;;
al3184523;al48;CITY;Patok;;
al782793;al48;CITY;Kodër-Spaç;;
al781161;al48;CITY;Xhuxhë;;
al3185347;al48;CITY;Ishull-Lezhë;;
al3185434;al48;CITY;Gurëz;;
al3185444;al48;CITY;Grykë-Manati;;
al3185500;al48;CITY;Gorre;;
al3185646;al48;CITY;Fregën;;
al3185830;al48;CITY;Daul;;
al3186147;al48;CITY;Balldren;;
al3183738;al48;CITY;Vinjoll;;
al3183773;al48;CITY;Velë-Vend;;
al3183932;al48;CITY;Tale;;
al3184030;al48;CITY;Shullaz;;
al3184124;al48;CITY;Shënmëri;;
al3184320;al48;CITY;Rreja e Zezë;;
al3184322;al48;CITY;Rreja e Velës;;
al3184350;al48;CITY;Rraboshtë;;
al3184911;al48;CITY;Livadhëz;;
al782992;al48;CITY;Hebë;;
al783032;al48;CITY;Grykë-Orosh;;
al783682;al48;CITY;Bardhaj;;
al781146;al48;CITY;Zajs;;
al781421;al48;CITY;Thirrë;;
al781616;al48;CITY;Shtrungaj;;
al781809;al48;CITY;Reps;;
al782200;al48;CITY;Ndërshenë;;
al782346;al48;CITY;Mashtërkor;;
al782570;al48;CITY;Lëkundë;;
al782645;al48;CITY;Kumbull;;
al3185112;al48;CITY;Kotërr;;
al3185161;al48;CITY;Kodër-Rrëshen;;
al3185281;al48;CITY;Kalur;;
al3185311;al48;CITY;Kakarriq;;
al3185346;al48;CITY;Ishull-Shëngjin;;
al3185445;al48;CITY;Gryka e Lumit;;
al3185479;al48;CITY;Gramsh;;
al3185557;al48;CITY;Gjonëm;;
al3185569;al48;CITY;Gjobardhaj;;
al3185591;al48;CITY;Gjash;;
al3185601;al48;CITY;Gëziq;;
al3185605;al48;CITY;Gërnac;;
al3185658;al48;CITY;Fishtë;;
al3185662;al48;CITY;Fierzë;;
al3185678;al48;CITY;Ferr-Shkopet;;
al3185951;al48;CITY;Bulshizë;;
al3186070;al48;CITY;Bërzanë;;
al3186134;al48;CITY;Baqël;;
al3186177;al48;CITY;Arrëz;;
al3186214;al48;CITY;Alk;;
al3183621;al48;CITY;Zhejë;;
al3183806;al48;CITY;Vau i Shkjezës;;
al3183954;al48;CITY;Sukaxhi;;
al3183976;al48;CITY;Spiten;;
al3184001;al48;CITY;Skuraj;;
al3184256;al48;CITY;Rilë;;
al3184259;al48;CITY;Rrethi i Epërm;;
al3184273;al48;CITY;Rasfik;;
al3184435;al48;CITY;Pllanë;;
al3184489;al48;CITY;Perlat-Qendër;;
al3184526;al48;CITY;Patalej;;
al3184621;al48;CITY;Ndërfushaz;;
al3184657;al48;CITY;Munaz;;
al3184732;al48;CITY;Merqi;;
al3184820;al48;CITY;Mali i Rencit;;
al3184822;al48;CITY;Bajramaj;;
al3184828;al48;CITY;Mali i Bardhë;;
al3184854;al48;CITY;Mabë;;
al3185019;al48;CITY;Kuzhnen;;
al3185162;al48;CITY;Kodër Mulliri;;
al782805;al48;CITY;Klos;;
al782999;al48;CITY;Gurth-Spaç;;
al783322;al48;CITY;Domgjon;;
al783506;al48;CITY;Bulshar;;
al783601;al48;CITY;Bisak;;
al781712;al48;CITY;Shebë;;
al782195;al48;CITY;Nënshenjt;;
al782207;al48;CITY;Sang;;
al782304;al48;CITY;Mërkurth;;
al782654;al48;CITY;Kullaxhi;;
al864694;al48;CITY;Petoc;;
al3185099;al48;CITY;Krajn;;
al3185159;al48;CITY;Kodhel;;
al3185321;al48;CITY;Kaçinar;;
al3185331;al48;CITY;Jezull;;
al3185537;al48;CITY;Gocaj;;
al3185627;al48;CITY;Gallatë;;
al3185636;al48;CITY;Fushë-Mamurras;;
al3185659;al48;CITY;Fildanë;;
al3185677;al48;CITY;Ferr -Skuraj;;
al3185694;al48;CITY;Fangu;;
al3185774;al48;CITY;Dragushë;;
al3185953;al48;CITY;Bukëmirë;;
al3186025;al48;CITY;Blinisht;;
al3183848;al48;CITY;Troshan;;
al3183854;al48;CITY;Tresh;;
al3184022;al48;CITY;Simon;;
al3184055;al48;CITY;Shpërdhet;;
al3184056;al48;CITY;Shpërdhezë;;
al3184080;al48;CITY;Shkopet;;
al3184142;al48;CITY;Shëngjergj;;
al3184269;al48;CITY;Rrasi i Butë;;
al3184395;al48;CITY;Prosek;;
al3184454;al48;CITY;Piraj;;
al3184480;al48;CITY;Peshqesh;;
al3184488;al48;CITY;Përlati i Epërm;;
al3184804;al48;CITY;Manati;;
al3184813;al48;CITY;Mal-Milot;;
al3184819;al48;CITY;Mali Shëngjinit;;
al3184832;al48;CITY;Malaj;;
al3184993;al48;CITY;Lalm-Lukaj;;
al3343659;al48;CITY;Ujë;;
al3316508;al48;CITY;Shtrez;;
al781136;al48;CITY;Zall-Xhuxhë;;
al3185584;al48;CITY;Gjeg Palaj;;
al3183830;al48;CITY;Uj-Shtreza;;
al3184623;al48;CITY;Ndërfanë;;
al782767;al48;CITY;Konaj;;
al783391;al48;CITY;Dardhë;;
al781231;al48;CITY;Vilë;;
al781427;al48;CITY;Tharr;;
al781542;al48;CITY;Spaç;;
al782465;al48;CITY;Lujajt i Poshtëm;;
al864684;al48;CITY;Planetë;;
al864692;al48;CITY;Shtalth;;
al864693;al48;CITY;Solloman;;
al864695;al48;CITY;Sung;;
al3185160;al48;CITY;Kodër Thumanë;;
al3185200;al48;CITY;Livadhet;;
al3185216;al48;CITY;Katundi i Vjetër;;
al3185217;al48;CITY;Katundi i Ri;;
al3185227;al48;CITY;Kashnjet;;
al3185288;al48;CITY;Kallmeti i Vogël;;
al3185298;al48;CITY;Kalivaç;;
al3185428;al48;CITY;Gurrë;;
al3185571;al48;CITY;Gjinazez;;
al3185630;al48;CITY;Gajush;;
al3185759;al48;CITY;Dritë;;
al3183787;al48;CITY;Varosh;;
al3183849;al48;CITY;Trojës;;
al3183922;al48;CITY;Tarazh;;
al3184105;al48;CITY;Sheshaj;;
al3184216;al48;CITY;Sanxhak;;
al3184241;al48;CITY;Rrushkull;;
al3184392;al48;CITY;Prull;;
al3184615;al48;CITY;Ndërshegas;;
al3184656;al48;CITY;Munegë;;
al3184865;al48;CITY;Lurth;;
al3343129;al48;CITY;Sakës;;
al3343643;al48;CITY;Katundi i Vjetër;;
al3343648;al48;CITY;Sherilaj;;
al3343649;al48;CITY;Zall;;
al3343658;al48;CITY;Fushë-Milot;;
al3343661;al48;CITY;Tharr;;
al3343686;al48;CITY;Patog;;
al3343688;al48;CITY;Shijezë;;
al781786;al48;CITY;Rrethas;;
al782018;al48;CITY;Plan;;
al782407;al48;CITY;Malaj i Epërm;;
al782589;al48;CITY;Lashtë;;
al782593;al48;CITY;Lar;;
al834077;al48;CITY;Drobaj;;
al864683;al48;CITY;Katundi i Sipërm;;
al864685;al48;CITY;Trojë;;
al864686;al48;CITY;Ndreaj;;
al864687;al48;CITY;Perlikaj;;
al864688;al48;CITY;Zallhotaj;;
al3185163;al48;CITY;Kodërmarlekaj;;
al3186187;al48;CITY;Arishtë;;
al3183601;al48;CITY;Zimaj;;
al3183913;al48;CITY;Tenë;;
al3183941;al48;CITY;Sumë-Mabë;;
al3184034;al48;CITY;Shtuf;;
al3184050;al48;CITY;Shpijat Piroll;;
al3184125;al48;CITY;Shën Lli;;
al3184149;al48;CITY;Shën Ded Gjoni;;
al3184879;al48;CITY;Luk i Zi;;
al3343115;al48;CITY;Çelaj;;
al3343116;al48;CITY;Marvukaj;;
al3343117;al48;CITY;Palokaj;;
al3343118;al48;CITY;Margjonaj;;
al3343120;al48;CITY;Demaj;;
al3343127;al48;CITY;Rrëza e Malit;;
al3343646;al48;CITY;Malecaj;;
al3343650;al48;CITY;Vau i Madh;;
al3343654;al48;CITY;Gazu i Sipërm;;
al3343662;al48;CITY;Nogaj;;
al3343663;al48;CITY;Kulme;;
