CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
tl;;COUNTRY;Timor-Leste;;
tlLI;tl;REGION;Liquiçá;;
tl1635826;tlLI;CITY;Maubara;;
tl1943072;tlLI;CITY;Buku Mera;;
tl1649467;tlLI;CITY;Bazartete;;
tl1943405;tlLI;CITY;Delusuvati;;
tl1943439;tlLI;CITY;Kepelari;;
tl1943451;tlLI;CITY;Simarema;;
tl1943864;tlLI;CITY;Flarsirna;;
tl1648456;tlLI;CITY;Boibau;;
tl1635007;tlLI;CITY;Morai;;
tl1623965;tlLI;CITY;Tibar;;
tl1942277;tlLI;CITY;Metir;;
tl1942279;tlLI;CITY;Durubasa;;
tl1942281;tlLI;CITY;Leguimea;;
tl1942291;tlLI;CITY;Mauluto;;
tl1942292;tlLI;CITY;Klaso;;
tl1942300;tlLI;CITY;Caimegi Ulu;;
tl1942301;tlLI;CITY;Caimegi;;
tl1942302;tlLI;CITY;Pissucaraik;;
tl1942315;tlLI;CITY;Rauhassa;;
tl1942319;tlLI;CITY;Motaikun;;
tl1942338;tlLI;CITY;Kaitcho;;
tl1942341;tlLI;CITY;Gerohata;;
tl1942350;tlLI;CITY;Kampungbaru;;
tl1942353;tlLI;CITY;Besite;;
tl1942357;tlLI;CITY;Cassait;;
tl1942362;tlLI;CITY;Kampungbaru;;
tl1942369;tlLI;CITY;Libaulelo;;
tl1942370;tlLI;CITY;Husbuk;;
tl1942376;tlLI;CITY;Fatunia;;
tl1942377;tlLI;CITY;Turlio;;
tl1942379;tlLI;CITY;Pokolo;;
tl1942380;tlLI;CITY;Rihiu;;
tl1942381;tlLI;CITY;Fahita;;
tl1943052;tlLI;CITY;Manulete;;
tl1943053;tlLI;CITY;Patunero;;
tl1943055;tlLI;CITY;Urluli;;
tl1943067;tlLI;CITY;Libaloa;;
tl1943068;tlLI;CITY;Nasuto;;
tl1943069;tlLI;CITY;Tuhilu Leten;;
tl1943070;tlLI;CITY;Tuhilu Craic;;
tl1943074;tlLI;CITY;Kutulau;;
tl1943075;tlLI;CITY;Bazartete;;
tl1943076;tlLI;CITY;Metir;;
tl1943077;tlLI;CITY;Fatuneso;;
tl1943078;tlLI;CITY;Baura;;
tl1943079;tlLI;CITY;Urema;;
tl1943081;tlLI;CITY;Railuli;;
tl1943252;tlLI;CITY;Samanaro;;
tl1943307;tlLI;CITY;Dair;;
tl1943365;tlLI;CITY;Raeme;;
tl1943366;tlLI;CITY;Tolema;;
tl1943367;tlLI;CITY;Katnaulete;;
tl1943368;tlLI;CITY;Laklolema;;
tl1943369;tlLI;CITY;Soatala;;
tl1943370;tlLI;CITY;Hekar;;
tl1943371;tlLI;CITY;Kailelilema;;
tl1943372;tlLI;CITY;Metaluli;;
tl1943373;tlLI;CITY;Vatunau;;
tl1943374;tlLI;CITY;Kamalehou;;
tl1943375;tlLI;CITY;Kumahu;;
tl1943400;tlLI;CITY;Kaikasa;;
tl1943402;tlLI;CITY;Pukelete;;
tl1943407;tlLI;CITY;Lebumeta;;
tl1943408;tlLI;CITY;Darulara;;
tl1943409;tlLI;CITY;Pabalebu;;
tl1943410;tlLI;CITY;Pametapu;;
tl1943411;tlLI;CITY;Lakmade;;
tl1943412;tlLI;CITY;Nunuana;;
tl1943413;tlLI;CITY;Laklema;;
tl1943414;tlLI;CITY;Vatuguili;;
tl1943415;tlLI;CITY;Kemipu;;
tl1943416;tlLI;CITY;Lebulema;;
tl1943417;tlLI;CITY;Lisalara;;
tl1943418;tlLI;CITY;Samanaro;;
tl1943419;tlLI;CITY;Bourawei;;
tl1943420;tlLI;CITY;Melabua;;
tl1943421;tlLI;CITY;Manuquibia;;
tl1943422;tlLI;CITY;Lebuhae;;
tl1943423;tlLI;CITY;Darolema;;
tl1943424;tlLI;CITY;Darulema;;
tl1943425;tlLI;CITY;Baiquenilau;;
tl1943426;tlLI;CITY;Kaikasa;;
tl1943427;tlLI;CITY;Lisalara;;
tl1943428;tlLI;CITY;Nunulete;;
tl1943429;tlLI;CITY;Samanaro;;
tl1943430;tlLI;CITY;Raenaba;;
tl1943431;tlLI;CITY;Erito;;
tl1943432;tlLI;CITY;Lauvou;;
tl1943433;tlLI;CITY;Lisalara;;
tl1943434;tlLI;CITY;Lautekas;;
tl1943435;tlLI;CITY;Palistela;;
tl1943436;tlLI;CITY;Vawinana;;
tl1943437;tlLI;CITY;Waupu;;
tl1943438;tlLI;CITY;Raiglelu;;
tl1943440;tlLI;CITY;Vatumori;;
tl1943441;tlLI;CITY;Kaibair;;
tl1943442;tlLI;CITY;Vatuvei;;
tl1943443;tlLI;CITY;Watuadalara;;
tl1943444;tlLI;CITY;Mauuno;;
tl1943445;tlLI;CITY;Batubeleter;;
tl1943446;tlLI;CITY;Kaikasa Vou;;
tl1943447;tlLI;CITY;Esloso;;
tl1943448;tlLI;CITY;Pelelor;;
tl1943449;tlLI;CITY;Nunulisa;;
tl1943450;tlLI;CITY;Pandavou;;
tl1943452;tlLI;CITY;Kemalehohuru;;
tl1943453;tlLI;CITY;Kemalelara;;
tl1943454;tlLI;CITY;Kotalara;;
tl1943455;tlLI;CITY;Leopa;;
tl1943456;tlLI;CITY;Dato;;
tl1943457;tlLI;CITY;Nartutu;;
tl1943458;tlLI;CITY;Vatuleurai;;
tl1943459;tlLI;CITY;Lebulugor;;
tl1943460;tlLI;CITY;Lepalaka;;
tl1943461;tlLI;CITY;Irlelo;;
tl1943462;tlLI;CITY;Goulete;;
tl1943463;tlLI;CITY;Raimeda;;
tl1943464;tlLI;CITY;Glai;;
tl1943465;tlLI;CITY;Siamado;;
tl1943466;tlLI;CITY;Wategas;;
tl1943467;tlLI;CITY;Uluana;;
tl1943575;tlLI;CITY;Samanaro;;
tl1943576;tlLI;CITY;Hataulete;;
tl1943577;tlLI;CITY;Vitanau;;
tl1943578;tlLI;CITY;Nunuhou;;
tl1943579;tlLI;CITY;Hatarlema;;
tl1943580;tlLI;CITY;Tautalo;;
tl1943581;tlLI;CITY;Manacolohata;;
tl1943582;tlLI;CITY;Hunahai;;
tl1943583;tlLI;CITY;Kaileulema;;
tl1943584;tlLI;CITY;Lebuana;;
tl1943585;tlLI;CITY;Metaluli;;
tl1943586;tlLI;CITY;Asorlema;;
tl1943587;tlLI;CITY;Metagao;;
tl1943595;tlLI;CITY;Hatululi;;
tl1943597;tlLI;CITY;Nunturi;;
tl1943599;tlLI;CITY;Carolema;;
tl1943601;tlLI;CITY;Hatuqesilete;;
tl1943605;tlLI;CITY;Caidico;;
tl1943607;tlLI;CITY;Lauclau;;
tl1943608;tlLI;CITY;Hatunau;;
tl1943610;tlLI;CITY;Raeme;;
tl1943611;tlLI;CITY;Watubau;;
tl1943613;tlLI;CITY;Lisaico;;
tl1943615;tlLI;CITY;Manucibia;;
tl1943616;tlLI;CITY;Gariana;;
tl1943617;tlLI;CITY;Kaimegoluli;;
tl1943618;tlLI;CITY;Hatumasi;;
tl1943619;tlLI;CITY;Tolema;;
tl1943621;tlLI;CITY;Nunubrihate;;
tl1943623;tlLI;CITY;Lebosalara;;
tl1943626;tlLI;CITY;Kirilelo;;
tl1943628;tlLI;CITY;Lebuhai;;
tl1943631;tlLI;CITY;Vazetida Algar;;
tl1943633;tlLI;CITY;Caileli;;
tl1943635;tlLI;CITY;Natare;;
tl1943638;tlLI;CITY;Lebui;;
tl1943640;tlLI;CITY;Manufatia;;
tl1943642;tlLI;CITY;Boelema;;
tl1943643;tlLI;CITY;Fahate;;
tl1943645;tlLI;CITY;Baura;;
tl1943649;tlLI;CITY;Ecapo;;
tl1943650;tlLI;CITY;Fatuhou;;
tl1943731;tlLI;CITY;Caicoletohoho;;
tl1943732;tlLI;CITY;Mangkir;;
tl1943733;tlLI;CITY;Ergoa;;
tl1943734;tlLI;CITY;Caicassico;;
tl1943735;tlLI;CITY;Cirilelo;;
tl1943736;tlLI;CITY;Manati;;
tl1943737;tlLI;CITY;Banitur;;
tl1943761;tlLI;CITY;Sisicolema;;
tl1943778;tlLI;CITY;Pisukaraik;;
tl1943779;tlLI;CITY;Pisulete;;
tl1943786;tlLI;CITY;Kelisifu;;
tl1943788;tlLI;CITY;Fasili;;
tl1943862;tlLI;CITY;Tobau;;
tl1943865;tlLI;CITY;Sabulau;;
tl1943866;tlLI;CITY;Reiglelu;;
tl1944004;tlLI;CITY;Gulumanu;;
tl1939870;tlLI;CITY;Morae;;
tl1940099;tlLI;CITY;Leva;;
tl8629096;tlLI;CITY;Vatuvou;;
tl8629098;tlLI;CITY;Guiso;;
tl8629099;tlLI;CITY;Vatuboro;;
tl8629100;tlLI;CITY;Fatumasi;;
tl8629101;tlLI;CITY;Lauhata;;
tl8629102;tlLI;CITY;Ulmera;;
tl8629103;tlLI;CITY;Gugleur;;
tl8629119;tlLI;CITY;Lissadila;;
tl8629120;tlLI;CITY;Guico;;
tl8629121;tlLI;CITY;Loidahar;;
tl8629122;tlLI;CITY;Hatuquessi;;
tl8629124;tlLI;CITY;Fatumasse;;
tl8629125;tlLI;CITY;Leorema;;
tl8629127;tlLI;CITY;Metagou;;
tl8629128;tlLI;CITY;Maubaralissa;;
tl8629129;tlLI;CITY;Motaulun;;
tl8629370;tlLI;CITY;Classo;;
tl8629394;tlLI;CITY;Vila;;
tl8629395;tlLI;CITY;Cai-Cassa;;
tl8692950;tlLI;CITY;Bugas Iara;;
tl8692951;tlLI;CITY;Trans;;
tl8692952;tlLI;CITY;Watuliurai;;
tl8643027;tlLI;CITY;Fahilebo;;
tl8643518;tlLI;CITY;Pandevou;;
tl8643528;tlLI;CITY;Maumeta;;
tl8643549;tlLI;CITY;Lepa;;
tl8643820;tlLI;CITY;Turleu;;
tl8644031;tlLI;CITY;Caileulema;;
tl8644032;tlLI;CITY;Natarae;;
tl8629972;tlLI;CITY;Vaviquinia;;
tl8630058;tlLI;CITY;Mota Icun;;
tl8630059;tlLI;CITY;Mau-Soi;;
tl8630073;tlLI;CITY;Darulete;;
tl8630074;tlLI;CITY;Acumano;;
tl8630075;tlLI;CITY;Leotala;;
tlBA;tl;REGION;Baucau;;
tl1943235;tlBA;CITY;Venilale;;
tl1942483;tlBA;CITY;Bucoli;;
tl1942870;tlBA;CITY;Quelicai;;
tl1942934;tlBA;CITY;Venilale;;
tl1638803;tlBA;CITY;Laga Subdistrict;;
tl1649319;tlBA;CITY;Barolai;;
tl1650776;tlBA;CITY;Baguia;;
tl1942482;tlBA;CITY;Macadai Bawah;;
tl1942491;tlBA;CITY;Ossowa;;
tl1942528;tlBA;CITY;Lailaileso;;
tl1942545;tlBA;CITY;Roulu;;
tl1942547;tlBA;CITY;Anaulu;;
tl1942700;tlBA;CITY;Kaikasalan;;
tl1944222;tlBA;CITY;Larimu;;
tl1944223;tlBA;CITY;Tinlolo;;
tl1944234;tlBA;CITY;Nunir;;
tl1944459;tlBA;CITY;Riadac;;
tl1946043;tlBA;CITY;Beliwale;;
tl1946051;tlBA;CITY;Naafa;;
tl1946097;tlBA;CITY;Onortibalari;;
tl1946137;tlBA;CITY;Maurubiassa;;
tl1633533;tlBA;CITY;Ossuala;;
tl1622481;tlBA;CITY;Vemasse;;
tl1942326;tlBA;CITY;Umannaico;;
tl1942327;tlBA;CITY;Caidenulale;;
tl1942328;tlBA;CITY;Lolinunu;;
tl1942329;tlBA;CITY;Hoinawai;;
tl1942331;tlBA;CITY;Naulale;;
tl1942332;tlBA;CITY;Caitaranau;;
tl1942333;tlBA;CITY;Waidau;;
tl1942335;tlBA;CITY;Nunoti;;
tl1942336;tlBA;CITY;Uatulari;;
tl1942337;tlBA;CITY;Uaiharchoo;;
tl1942339;tlBA;CITY;Bahalale;;
tl1942342;tlBA;CITY;Haunau;;
tl1942343;tlBA;CITY;Bahamori;;
tl1942346;tlBA;CITY;Ucobai;;
tl1942347;tlBA;CITY;Ostico;;
tl1942348;tlBA;CITY;Darasula;;
tl1942354;tlBA;CITY;Uaiboila;;
tl1942356;tlBA;CITY;Macadaicima;;
tl1942360;tlBA;CITY;Lequiloualo;;
tl1942363;tlBA;CITY;Angkasabaru;;
tl1942365;tlBA;CITY;Rajawali;;
tl1942368;tlBA;CITY;Uaibeana;;
tl1942451;tlBA;CITY;Karabela;;
tl1942454;tlBA;CITY;Uaicuha;;
tl1942460;tlBA;CITY;Habolale;;
tl1942465;tlBA;CITY;Uailacama;;
tl1942467;tlBA;CITY;Uaisimo;;
tl1942484;tlBA;CITY;Mancadai Atas;;
tl1942485;tlBA;CITY;Lequliwatu;;
tl1942486;tlBA;CITY;Luliheni;;
tl1942488;tlBA;CITY;Aubaca;;
tl1942489;tlBA;CITY;Dirgantara;;
tl1942494;tlBA;CITY;Caibolale;;
tl1942496;tlBA;CITY;Uaisa;;
tl1942530;tlBA;CITY;Caisido;;
tl1942534;tlBA;CITY;Parlamento;;
tl1942539;tlBA;CITY;Uaineque;;
tl1942540;tlBA;CITY;Haurobu;;
tl1942542;tlBA;CITY;Waniuma;;
tl1942543;tlBA;CITY;Anawaro;;
tl1942559;tlBA;CITY;Uatabo;;
tl1942560;tlBA;CITY;Racolo;;
tl1942562;tlBA;CITY;Diwake;;
tl1942563;tlBA;CITY;Uailabere;;
tl1942564;tlBA;CITY;Teolale;;
tl1942568;tlBA;CITY;Kasmutu;;
tl1942571;tlBA;CITY;Onosere;;
tl1942573;tlBA;CITY;Caiobilalei;;
tl1942574;tlBA;CITY;Makadai;;
tl1942576;tlBA;CITY;Boile;;
tl1942577;tlBA;CITY;Datawa;;
tl1942578;tlBA;CITY;Uaicainaro;;
tl1942589;tlBA;CITY;Lutumutu;;
tl1942591;tlBA;CITY;Uaimoribere;;
tl1942592;tlBA;CITY;Loidua;;
tl1942593;tlBA;CITY;Samalakuliba;;
tl1942594;tlBA;CITY;Cailara;;
tl1942596;tlBA;CITY;Latua;;
tl1942597;tlBA;CITY;Rabei;;
tl1942598;tlBA;CITY;Luhadora;;
tl1942599;tlBA;CITY;Suliwa;;
tl1942601;tlBA;CITY;Uaisarigo;;
tl1942661;tlBA;CITY;Binagua;;
tl1942664;tlBA;CITY;Baboro;;
tl1942672;tlBA;CITY;Seisal;;
tl1942675;tlBA;CITY;Locoda;;
tl1942676;tlBA;CITY;Seisal Baru;;
tl1942685;tlBA;CITY;Umarama;;
tl1942687;tlBA;CITY;Gamana;;
tl1942688;tlBA;CITY;Mulia;;
tl1942692;tlBA;CITY;Saebere;;
tl1942699;tlBA;CITY;Racolo;;
tl1942702;tlBA;CITY;Tekinomata;;
tl1942715;tlBA;CITY;Bolobai;;
tl1942716;tlBA;CITY;Samaguia;;
tl1942718;tlBA;CITY;Soba;;
tl1942719;tlBA;CITY;Telibudae;;
tl1942722;tlBA;CITY;Suataici;;
tl1942723;tlBA;CITY;Kotagama;;
tl1942728;tlBA;CITY;Natarici;;
tl1942732;tlBA;CITY;Uarinana;;
tl1942735;tlBA;CITY;Aelemilari;;
tl1942736;tlBA;CITY;Butofalo;;
tl1942738;tlBA;CITY;Couguira;;
tl1942783;tlBA;CITY;Muassufa;;
tl1942785;tlBA;CITY;Leuque Racabu;;
tl1942786;tlBA;CITY;Festau;;
tl1942788;tlBA;CITY;Macalaco;;
tl1942789;tlBA;CITY;Bocilai;;
tl1942790;tlBA;CITY;Macalira;;
tl1942791;tlBA;CITY;Larimuta;;
tl1942792;tlBA;CITY;Larubo;;
tl1942793;tlBA;CITY;Luborice;;
tl1942794;tlBA;CITY;Defadae;;
tl1942795;tlBA;CITY;Chefamuai;;
tl1942796;tlBA;CITY;Eduquele;;
tl1942797;tlBA;CITY;Ruta;;
tl1942799;tlBA;CITY;Lacudala;;
tl1942868;tlBA;CITY;Lacolio;;
tl1942869;tlBA;CITY;Uaule;;
tl1942871;tlBA;CITY;Lacaliu;;
tl1942873;tlBA;CITY;Tabere;;
tl1942874;tlBA;CITY;Lebene;;
tl1942876;tlBA;CITY;Letemumo;;
tl1942877;tlBA;CITY;Baguia;;
tl1942880;tlBA;CITY;Butileo;;
tl1942881;tlBA;CITY;Samadae;;
tl1942882;tlBA;CITY;Mumana;;
tl1942883;tlBA;CITY;Wabere;;
tl1942885;tlBA;CITY;Abafala;;
tl1942888;tlBA;CITY;Guruca;;
tl1942889;tlBA;CITY;Cotaissi;;
tl1942890;tlBA;CITY;Larigua;;
tl1942891;tlBA;CITY;Maebu;;
tl1942892;tlBA;CITY;Uecobuti;;
tl1942894;tlBA;CITY;Quelicai;;
tl1942895;tlBA;CITY;Afaca;;
tl1942896;tlBA;CITY;Ucamuni;;
tl1942898;tlBA;CITY;Loirae;;
tl1942899;tlBA;CITY;Muturo;;
tl1942900;tlBA;CITY;Uehuafa;;
tl1942906;tlBA;CITY;Culugia;;
tl1942907;tlBA;CITY;Gugolai;;
tl1942909;tlBA;CITY;Facua;;
tl1942912;tlBA;CITY;Maukiki;;
tl1942916;tlBA;CITY;Uaitame;;
tl1942917;tlBA;CITY;Uaitame;;
tl1942918;tlBA;CITY;Laumana;;
tl1942919;tlBA;CITY;Mucobubo;;
tl1942920;tlBA;CITY;Daraloi;;
tl1942921;tlBA;CITY;Uadaboro;;
tl1942930;tlBA;CITY;Boleha;;
tl1942932;tlBA;CITY;Kairiri;;
tl1942933;tlBA;CITY;Uaitunau;;
tl1942935;tlBA;CITY;Nunudoco;;
tl1942936;tlBA;CITY;Kairiri;;
tl1942937;tlBA;CITY;Queleborouai;;
tl1942938;tlBA;CITY;Bercoli;;
tl1942939;tlBA;CITY;Betonau;;
tl1942940;tlBA;CITY;Umatunau;;
tl1942941;tlBA;CITY;Bodohoo;;
tl1942942;tlBA;CITY;Neohoo;;
tl1942943;tlBA;CITY;Liaoli;;
tl1942944;tlBA;CITY;Kaimalehoo;;
tl1942945;tlBA;CITY;Uaitoki;;
tl1942946;tlBA;CITY;Uatubelaoli;;
tl1942947;tlBA;CITY;Caihula;;
tl1942948;tlBA;CITY;Ossoguigui;;
tl1942949;tlBA;CITY;Maukale;;
tl1942950;tlBA;CITY;Uaturau;;
tl1942951;tlBA;CITY;Gariuai;;
tl1942952;tlBA;CITY;Luboria;;
tl1942953;tlBA;CITY;Bahamori;;
tl1942954;tlBA;CITY;Uaimanuboe;;
tl1942955;tlBA;CITY;Ledatame;;
tl1942956;tlBA;CITY;Afacaimau;;
tl1942957;tlBA;CITY;Afagua Manufai;;
tl1942958;tlBA;CITY;Waturau;;
tl1942959;tlBA;CITY;Alala;;
tl1942960;tlBA;CITY;Builai;;
tl1942961;tlBA;CITY;Samalakuliba;;
tl1942962;tlBA;CITY;Loidua;;
tl1942963;tlBA;CITY;Buibau;;
tl1942964;tlBA;CITY;Rahameta;;
tl1942965;tlBA;CITY;Laherubi;;
tl1942966;tlBA;CITY;Visto;;
tl1942967;tlBA;CITY;Sorolai;;
tl1942968;tlBA;CITY;Manulai;;
tl1942969;tlBA;CITY;Ossoluga;;
tl1942970;tlBA;CITY;Uatubala;;
tl1942971;tlBA;CITY;Waidua;;
tl1942972;tlBA;CITY;Tudoula;;
tl1943084;tlBA;CITY;Uatubala;;
tl1943085;tlBA;CITY;Lilouarica;;
tl1943086;tlBA;CITY;Uatoue;;
tl1943087;tlBA;CITY;Uatoua;;
tl1943089;tlBA;CITY;Daralata;;
tl1943092;tlBA;CITY;Kumooli;;
tl1943097;tlBA;CITY;Lacouma;;
tl1943193;tlBA;CITY;Bahadato;;
tl1943195;tlBA;CITY;Ossoake;;
tl1943196;tlBA;CITY;Uatobono;;
tl1943197;tlBA;CITY;Uatolia;;
tl1943198;tlBA;CITY;Fatulia;;
tl1943214;tlBA;CITY;Larameta;;
tl1943215;tlBA;CITY;Lulibau;;
tl1943216;tlBA;CITY;Uaiae;;
tl1943217;tlBA;CITY;Uatumissa;;
tl1943218;tlBA;CITY;Acakuata;;
tl1943221;tlBA;CITY;Daule;;
tl1943222;tlBA;CITY;Baru;;
tl1943223;tlBA;CITY;Kaihurulale;;
tl1943224;tlBA;CITY;Uaicana;;
tl1943227;tlBA;CITY;Uailao;;
tl1943228;tlBA;CITY;Ossogori;;
tl1943229;tlBA;CITY;Liabala;;
tl1943230;tlBA;CITY;Luhaoli;;
tl1943231;tlBA;CITY;Ariana;;
tl1943232;tlBA;CITY;Kaubai;;
tl1943233;tlBA;CITY;Uailaha;;
tl1943234;tlBA;CITY;Uatuasa;;
tl1943236;tlBA;CITY;Uaitalibu;;
tl1943237;tlBA;CITY;Umaanaico;;
tl1943239;tlBA;CITY;Uaitoco;;
tl1943240;tlBA;CITY;Lelalai;;
tl1943297;tlBA;CITY;Larigua;;
tl1943298;tlBA;CITY;Malulai;;
tl1943299;tlBA;CITY;Afalari;;
tl1943300;tlBA;CITY;Bahatata;;
tl1943301;tlBA;CITY;Namanei;;
tl1943304;tlBA;CITY;Beheissi;;
tl1943305;tlBA;CITY;Bacarui;;
tl1943306;tlBA;CITY;Haeconi;;
tl1943348;tlBA;CITY;Caidauai;;
tl1943349;tlBA;CITY;Buboha;;
tl1943350;tlBA;CITY;Tirifalo;;
tl1943351;tlBA;CITY;Neolidae;;
tl1943352;tlBA;CITY;Alaua 1;;
tl1943353;tlBA;CITY;Uasufa;;
tl1943354;tlBA;CITY;Maurubiassa;;
tl1943355;tlBA;CITY;Alaua 2;;
tl1943356;tlBA;CITY;Afguia;;
tl1943475;tlBA;CITY;Uaigae;;
tl1943479;tlBA;CITY;Adoi;;
tl1943502;tlBA;CITY;Bibidae;;
tl1943503;tlBA;CITY;Uatatefo;;
tl1943504;tlBA;CITY;Lauhare;;
tl1943505;tlBA;CITY;Baehana;;
tl1943506;tlBA;CITY;Larisula;;
tl1943507;tlBA;CITY;Uro;;
tl1943508;tlBA;CITY;Uatatefo;;
tl1943509;tlBA;CITY;Uro;;
tl1943510;tlBA;CITY;Lauhare;;
tl1943511;tlBA;CITY;Larisula;;
tl1943512;tlBA;CITY;Caudatae;;
tl1943513;tlBA;CITY;Tirifalo;;
tl1943514;tlBA;CITY;Bibidae;;
tl1943515;tlBA;CITY;Cairedo;;
tl1943516;tlBA;CITY;Ualiu;;
tl1943517;tlBA;CITY;Uabuu;;
tl1943518;tlBA;CITY;Uaibu;;
tl1943519;tlBA;CITY;Sauacassa;;
tl1943520;tlBA;CITY;Uatalio;;
tl1943521;tlBA;CITY;Laissorolai Craic;;
tl1943522;tlBA;CITY;Uluisi;;
tl1943523;tlBA;CITY;Daraoma;;
tl1943524;tlBA;CITY;Bualale;;
tl1943525;tlBA;CITY;Laissorolai;;
tl1943526;tlBA;CITY;Baticassa;;
tl1943527;tlBA;CITY;Uaidaba;;
tl1943528;tlBA;CITY;Lelalai;;
tl1943529;tlBA;CITY;Daemenama;;
tl1943530;tlBA;CITY;Maluro;;
tl1943531;tlBA;CITY;Lolubowogua;;
tl1943532;tlBA;CITY;Sauacassa;;
tl1943534;tlBA;CITY;Uaroro;;
tl1943539;tlBA;CITY;Raha;;
tl1943541;tlBA;CITY;Oralan;;
tl1943542;tlBA;CITY;Caicua;;
tl1943543;tlBA;CITY;Bahamori;;
tl1943544;tlBA;CITY;Lor;;
tl1943588;tlBA;CITY;Lialura;;
tl1943589;tlBA;CITY;Uaidora;;
tl1943590;tlBA;CITY;Abomatebean;;
tl1943591;tlBA;CITY;Ossomeca;;
tl1943592;tlBA;CITY;Laissorolai;;
tl1943593;tlBA;CITY;Samafano;;
tl1943596;tlBA;CITY;Ulolaco;;
tl1943598;tlBA;CITY;Lacolu;;
tl1943600;tlBA;CITY;Samalari;;
tl1943602;tlBA;CITY;Uaimata;;
tl1943603;tlBA;CITY;Salai;;
tl1943604;tlBA;CITY;Afaloicai;;
tl1943606;tlBA;CITY;Ossohuna;;
tl1944224;tlBA;CITY;Lalulai;;
tl1944225;tlBA;CITY;Lauhare;;
tl1944227;tlBA;CITY;Terobala;;
tl1944229;tlBA;CITY;Samalalu;;
tl1944230;tlBA;CITY;Larisula;;
tl1944231;tlBA;CITY;Samalari;;
tl1944232;tlBA;CITY;Bubodefo;;
tl1944233;tlBA;CITY;Libagua;;
tl1944235;tlBA;CITY;Borolau;;
tl1944236;tlBA;CITY;Uacilava;;
tl1944237;tlBA;CITY;Larifano;;
tl1944238;tlBA;CITY;Buskaulari;;
tl1944242;tlBA;CITY;Loilaku;;
tl1944243;tlBA;CITY;Sorogua;;
tl1944458;tlBA;CITY;Buboloma;;
tl1944467;tlBA;CITY;Saelari;;
tl1944468;tlBA;CITY;Lariledana;;
tl1944471;tlBA;CITY;Laucolo;;
tl1944473;tlBA;CITY;Lualari;;
tl1944477;tlBA;CITY;Uassabolo;;
tl1944482;tlBA;CITY;Buiguira;;
tl1944485;tlBA;CITY;Binagua;;
tl1946032;tlBA;CITY;Alacafa;;
tl1946046;tlBA;CITY;Uaraba;;
tl1946050;tlBA;CITY;Sirebuu;;
tl1946052;tlBA;CITY;Abuti;;
tl1946053;tlBA;CITY;Siguilaba;;
tl1946054;tlBA;CITY;Liarafa;;
tl1946056;tlBA;CITY;Atelari;;
tl1946057;tlBA;CITY;Lavadae;;
tl1946061;tlBA;CITY;Loilari;;
tl1946062;tlBA;CITY;Samagata;;
tl1946066;tlBA;CITY;Lasula;;
tl1946068;tlBA;CITY;Selegoa;;
tl1946069;tlBA;CITY;Onebu;;
tl1946083;tlBA;CITY;Namanei;;
tl1946093;tlBA;CITY;Buadolo;;
tl1946094;tlBA;CITY;Uaraba;;
tl1946095;tlBA;CITY;Samagata;;
tl1946096;tlBA;CITY;Ledena;;
tl1946098;tlBA;CITY;Fanalolo;;
tl1946100;tlBA;CITY;Uatalolo;;
tl1946101;tlBA;CITY;Sirimana;;
tl1946102;tlBA;CITY;Nelouai;;
tl1946109;tlBA;CITY;Defauassi;;
tl1946110;tlBA;CITY;Uarau;;
tl1946114;tlBA;CITY;Taubere;;
tl1946116;tlBA;CITY;Buau;;
tl1946119;tlBA;CITY;Iraosso;;
tl1946133;tlBA;CITY;Sorocama;;
tl1946135;tlBA;CITY;Iraosso;;
tl1946136;tlBA;CITY;Alaua Leten;;
tl1946152;tlBA;CITY;Alaua;;
tl8629007;tlBA;CITY;Maucale;;
tl8629009;tlBA;CITY;Samalari;;
tl8629010;tlBA;CITY;Wailili;;
tl8629011;tlBA;CITY;Uailili;;
tl8629012;tlBA;CITY;Caibada;;
tl8629013;tlBA;CITY;Buruma;;
tl8629014;tlBA;CITY;Seical;;
tl8629015;tlBA;CITY;Alawa Leten;;
tl8629016;tlBA;CITY;Tequinaumata;;
tl8629055;tlBA;CITY;Uatu Haco;;
tl8629056;tlBA;CITY;Lavateri;;
tl8629057;tlBA;CITY;Osso Huna;;
tl8629058;tlBA;CITY;Laisorolai;;
tl8629059;tlBA;CITY;Ossouala;;
tl8629126;tlBA;CITY;Betulari;;
tl8629155;tlBA;CITY;Osso Uaque;;
tl8629156;tlBA;CITY;Osso Ua;;
tl8629237;tlBA;CITY;Uma Ana Ico;;
tl8629239;tlBA;CITY;Saraida;;
tl8629255;tlBA;CITY;Waule;;
tl8629288;tlBA;CITY;Bado-Ho'o;;
tl8629324;tlBA;CITY;Lacoliu;;
tl8629325;tlBA;CITY;Bahu;;
tl8629326;tlBA;CITY;Fanulolo;;
tl8629327;tlBA;CITY;Borulau;;
tl8692953;tlBA;CITY;Waisemu;;
tl8692960;tlBA;CITY;Teka Lale;;
tl8692961;tlBA;CITY;Lewa Lale;;
tl8692962;tlBA;CITY;Kaimeni ulu;;
tl8692963;tlBA;CITY;Riabato;;
tl8692964;tlBA;CITY;Waipa;;
tl8692965;tlBA;CITY;Bandadili;;
tl8692974;tlBA;CITY;Fatumaca;;
tl8643087;tlBA;CITY;Trilolo;;
tl8643089;tlBA;CITY;Laisorolai de Baixo;;
tl8643499;tlBA;CITY;Ia Sula;;
