CODE;PARENT_CODE;TYPE_CODE;NAME.EN.NAME;EXT.YAMARKET.0;EXT.ZIP.0
jo;;COUNTRY;Jordan;;
jo17;jo;REGION;Zarqa;;
jo7838895;jo17;CITY;Russeifa;;
jo250095;jo17;CITY;Al Azraq ash Shamālī;;
jo247601;jo17;CITY;Qaşr al Ḩallābāt;;
jo248514;jo17;CITY;Khirbat Khaww;;
jo248516;jo17;CITY;Juraybah;;
jo249437;jo17;CITY;Khirbat Gharīsah;;
jo250233;jo17;CITY;As Sukhnah;;
jo250471;jo17;CITY;Al Qunayyah;;
jo250552;jo17;CITY;Al Masarrah al Gharbīyah;;
jo250626;jo17;CITY;Al Kamshah;;
jo251031;jo17;CITY;Umm aş Şalīḩ;;
jo246177;jo17;CITY;Umm Rummānah;;
jo248511;jo17;CITY;Khirbat Makḩūl;;
jo249713;jo17;CITY;‘Urqūb an Nu‘ayr;;
jo250778;jo17;CITY;Al ‘Ālūk;;
jo10861858;jo17;CITY;Al Mujaddil;;
jo246966;jo17;CITY;Şarrūt;;
jo248542;jo17;CITY;Khirbat ar Ruşayfah;;
jo248880;jo17;CITY;Jannā‘ah;;
jo250165;jo17;CITY;‘Awjān ash Sharqī;;
jo250166;jo17;CITY;‘Awjān ash Shamālī;;
jo250167;jo17;CITY;‘Awjān al Gharbī;;
jo407177;jo17;CITY;Al ‘Umarī;;
jo10861886;jo17;CITY;Al Ḩaşab;;
jo10861888;jo17;CITY;Al Mikhdhāt;;
jo10861890;jo17;CITY;As Saḩḩārah;;
jo10861891;jo17;CITY;Muḩrishah;;
jo10861892;jo17;CITY;Ţawāḩīn al ‘Udwān;;
jo10861902;jo17;CITY;Iskan al Qā‘idah;;
jo11264489;jo17;CITY;Al Maydān;;
jo11264544;jo17;CITY;Qaryat ‘Uqlah;;
jo11264546;jo17;CITY;An Nāşirīyah;;
jo11264547;jo17;CITY;Maqām ‘Īsá;;
jo10943540;jo17;CITY;Al Masarrah ash Sharqīyah;;
jo12144811;jo17;CITY;Al Bīrah;;
jo247170;jo17;CITY;Şābir;;
jo15;jo;REGION;Mafraq;;
jo11428685;jo15;CITY;Rukban;;
jo249135;jo15;CITY;Manshīyat al ‘Ulyān;;
jo249296;jo15;CITY;Ḩammāmat al ‘Alīmāt;;
jo250225;jo15;CITY;As Suwaylimah;;
jo250432;jo15;CITY;‘Amrah wa ‘Umayrah;;
jo250523;jo15;CITY;Mughayyir as Sirḩān;;
jo250609;jo15;CITY;Al Khirbah as Samrā’;;
jo245817;jo15;CITY;Ḩammāmat al ‘Umūsh;;
jo246312;jo15;CITY;Umm as Surab;;
jo246334;jo15;CITY;Umm an Na‘ām al Gharbīyah;;
jo246355;jo15;CITY;Umm al Lūlū;;
jo246536;jo15;CITY;Thughrat al Jubb;;
jo247162;jo15;CITY;Sab‘ Aşīr;;
jo247263;jo15;CITY;Umm an Na‘ām ash Sharqīyah;;
jo247822;jo15;CITY;Al Mushayrifah;;
jo247925;jo15;CITY;Al Mukhayzin;;
jo248311;jo15;CITY;Aş Şafāwī;;
jo248469;jo15;CITY;Munayfah;;
jo248487;jo15;CITY;Umm Rummānah;;
jo248515;jo15;CITY;Khaţlah;;
jo248528;jo15;CITY;‘Ayn Banī Ḩasan;;
jo248552;jo15;CITY;Manshīyat al Qablān;;
jo248683;jo15;CITY;Kawm ar Raff;;
jo248913;jo15;CITY;Jābir as Sirḩān;;
jo249134;jo15;CITY;Ḩayyān ar Ruwaybiḑ;;
jo249768;jo15;CITY;Daḩl;;
jo249853;jo15;CITY;Burayqā;;
jo250153;jo15;CITY;Aydūn Banī Ḩasan;;
jo250517;jo15;CITY;Manshīyat al Qunw;;
jo250566;jo15;CITY;Manshīyat al Ka‘bīr;;
jo250585;jo15;CITY;Al Madwar;;
jo250615;jo15;CITY;Al Khanāşirī;;
jo250697;jo15;CITY;Al Ḩamrā’;;
jo250727;jo15;CITY;Buwayḑah al Gharbīyah;;
jo11352362;jo15;CITY;Ruwaished;;
jo245832;jo15;CITY;Zumlat al Amīr Ghāzī;;
jo246238;jo15;CITY;Umm Kharrūbah;;
jo246303;jo15;CITY;Umm Buţaymah;;
jo246658;jo15;CITY;Şurrah;;
jo246684;jo15;CITY;Khirbat Sumayyah;;
jo246685;jo15;CITY;Sumayyā as Sirḩān;;
jo246735;jo15;CITY;Şubḩīyah;;
jo246758;jo15;CITY;Şīrat al Arnab;;
jo246787;jo15;CITY;Al Ḩarfūshīyah;;
jo247101;jo15;CITY;Aş Şahāh;;
jo247438;jo15;CITY;Rabbā‘ as Sirḩān;;
jo247777;jo15;CITY;Nādirah;;
jo247784;jo15;CITY;‘Ayn an Nabī;;
jo248055;jo15;CITY;Miqāţ;;
jo248480;jo15;CITY;Khishā‘ Sulaytīn;;
jo248492;jo15;CITY;Al Ukaydir;;
jo248519;jo15;CITY;Huwayshān;;
jo248554;jo15;CITY;Rawḑat ar Ruway‘ī;;
jo248565;jo15;CITY;Ad Duqmussah;;
jo248571;jo15;CITY;Abū as Sūs;;
jo248572;jo15;CITY;Al Qaşabah;;
jo248685;jo15;CITY;Al Kawm al Aḩmar;;
jo249136;jo15;CITY;Ḩayyān al Mushrif;;
jo249264;jo15;CITY;Ḩamnānah;;
jo249463;jo15;CITY;Ad Durzīyah;;
jo249677;jo15;CITY;Dayr Waraq;;
jo250082;jo15;CITY;Az Zunayyah;;
jo250084;jo15;CITY;Zumlat aţ Tarqī;;
jo250085;jo15;CITY;Az Zubaydīyah;;
jo250087;jo15;CITY;Az Za‘tarī;;
jo250344;jo15;CITY;An Nahḑah;;
jo250412;jo15;CITY;An Nimrah;;
jo250475;jo15;CITY;Al Khālidīyah ash Sharqīyah;;
jo250518;jo15;CITY;Al Mukayfitah;;
jo250563;jo15;CITY;Al Manşūrah;;
jo250616;jo15;CITY;Al Khān;;
jo250663;jo15;CITY;Al Ḩusaynīyah;;
jo250721;jo15;CITY;Al Fayḑah;;
jo250753;jo15;CITY;Al Bā‘ij;;
jo250841;jo15;CITY;Ad Dajanīyah;;
jo250845;jo15;CITY;Ad Dafyānah;;
jo10688272;jo15;CITY;Al Aratayn;;
jo10861652;jo15;CITY;Madwar al Qinn;;
jo10861780;jo15;CITY;Al Mufarradāt ash Sharqīyah;;
jo10861781;jo15;CITY;Al Mufarradāt al Gharbīyah;;
jo10861812;jo15;CITY;Al Mufarradāt;;
jo10861848;jo15;CITY;Ţayyib Ism;;
jo10641274;jo15;CITY;Ţībat al Masā‘īd;;
jo10630634;jo15;CITY;Ad Dandanīyah;;
jo248310;jo15;CITY;Maḩaţţat al Jufūr;;
jo249556;jo15;CITY;Fā‘;;
jo250630;jo15;CITY;Al Jundī;;
jo10682403;jo15;CITY;Manshīyat al Ghayyāth;;
jo10682405;jo15;CITY;Ar Rīshah;;
jo10636562;jo15;CITY;Ḩuwayjah;;
jo10636563;jo15;CITY;Ar Raḩmāt;;
jo10636564;jo15;CITY;Al Mashraf;;
jo10636587;jo15;CITY;Rasm Ḩişān;;
jo10636588;jo15;CITY;Manshīyat al Khamīs;;
jo10636596;jo15;CITY;Abu Ţanţūr;;
jo10636597;jo15;CITY;Manshīyat al Judū‘;;
jo10636658;jo15;CITY;Al Fayşalīyah;;
jo10636659;jo15;CITY;As Sa‘īdīyah;;
jo10861646;jo15;CITY;Dayr al Qinn;;
jo10861647;jo15;CITY;Al Jubayyah;;
jo10861651;jo15;CITY;Khishā‘ al Qinn;;
jo10861653;jo15;CITY;Tall Armāḩ;;
jo10861655;jo15;CITY;Ath Thallāj;;
jo10861656;jo15;CITY;Al Bishrīyah;;
jo10861657;jo15;CITY;Bānī Hāshim;;
jo10861658;jo15;CITY;Rawḑat al Amīr Ḩamzah;;
jo10861659;jo15;CITY;Al Manārah;;
jo10861660;jo15;CITY;As Sa‘ādah;;
jo10861661;jo15;CITY;Al Ashrafīyah;;
jo10861662;jo15;CITY;Nāyifah;;
jo10861663;jo15;CITY;Al Ḩamīdīyah;;
jo10861665;jo15;CITY;Al Munayşah;;
jo10861666;jo15;CITY;Uraynabat an Na‘īmāt;;
jo10861667;jo15;CITY;Ar Rifā‘īyāt;;
jo10861668;jo15;CITY;Qāsim;;
jo10861669;jo15;CITY;Rawḑat al Amīr ‘Alī Bin al Ḩusayn;;
jo10861670;jo15;CITY;Al Ma‘zūlah;;
jo10861671;jo15;CITY;Al ‘Awdah;;
jo10861672;jo15;CITY;Ghadīr an Nāqah;;
jo10861673;jo15;CITY;Raḩbat Rakkād;;
jo10861767;jo15;CITY;Az̧ Z̧āhirīyah;;
jo10861768;jo15;CITY;Aţ Ţawq;;
jo10861769;jo15;CITY;Al Mazra‘ah;;
jo10861770;jo15;CITY;Al Muthallaj;;
jo10861771;jo15;CITY;Al Mashrafah;;
jo10861772;jo15;CITY;Ḑāḩiyat al Ḩusayn;;
jo10861773;jo15;CITY;Al Mabrūkah;;
jo10861782;jo15;CITY;Nayyān;;
jo10861786;jo15;CITY;Madhbaḩ al Kharūf;;
jo10861788;jo15;CITY;Al Qar‘ah;;
jo10861789;jo15;CITY;Ar Rawḑah;;
jo10861790;jo15;CITY;Ḩamnānah al Jadīdah;;
jo10861791;jo15;CITY;Al Bustān;;
jo10861796;jo15;CITY;Khuraysān;;
jo10861798;jo15;CITY;Al Marājim;;
jo10861799;jo15;CITY;Al Karm;;
jo10861800;jo15;CITY;Al Harmashīyah;;
jo10861801;jo15;CITY;Quţaymah;;
jo10861802;jo15;CITY;Madāwīr an Nuzhah;;
jo10861803;jo15;CITY;An Nuzhah;;
jo10861804;jo15;CITY;Ţālib;;
jo10861806;jo15;CITY;Al Mu‘ammarīyah;;
jo10861808;jo15;CITY;Ar Rashādah;;
jo10861809;jo15;CITY;Az Za‘farānah;;
jo10861810;jo15;CITY;An Nammārah;;
jo10861815;jo15;CITY;Al Ḩarārah;;
jo10861816;jo15;CITY;Ḩamīdīyat al Masā‘īd;;
jo10861817;jo15;CITY;Ḩayy al Fawā‘irah;;
jo10861819;jo15;CITY;Manshīyat as Sulţah;;
jo10861820;jo15;CITY;Al Bawādī;;
